asset,aliases,company,owner_at_cutoff,partners,modality,construct,target,mechanism,core_adjacent_tier,indication,highest_stage,status,trial_ids,differentiation,biomarker_pd_strategy,dosing_developability,safety_hypothesis,key_unmet_need,critical_risks,preclinical_models,preclinical_results,potential_driver_specificity_0_3,potential_durability_0_3,potential_selectivity_0_3,potential_translatability_0_3,potential_developability_0_3,weighted_potential_0_3,evidence_confidence,evidence_tier,source_ids,last_verified,notes,asset_scope,inventory_depth,registry_trial_count,mapping_confidence,mechanism_provenance,r_and_d_score_scope,pipeline_inclusion,data_cut,schema_version
Efgartigimod PH20 SC,NR (no additional alias reported),argenx,argenx,NR (not deeply assessed; completeness row),COMBINATION_PRODUCT (registry classification); BIOLOGICAL (registry classification),NR (not deeply assessed; completeness row),FcRn,FcRn inhibition,Completeness,Active moderate-to-severe TED; GD / autoimmune hyperthyroidism,Highest registered phase: PHASE3,Registered statuses: TERMINATED; RECRUITING,NCT06307613; NCT06307626; NCT07570316; NCT07596849,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT06307613; ClinicalTrials.gov; NCT06307626; ClinicalTrials.gov; NCT07570316; ClinicalTrials.gov; NCT07596849,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,4,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Felzartamab,BIIB148 | MOR202 | MOR03087 | TJ202,Biogen,Biogen,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),CD38,CD38 plasma-cell depletion,Completeness,GD / autoimmune hyperthyroidism,Highest registered phase: PHASE2,Registered statuses: RECRUITING,NCT07722546,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT07722546,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
HN2301 in-vivo CAR-T,In Vivo CAR-T Therapy | HN2301; HN2301; In Vivo CAR-T Therapy,Shanghai Zhongshan Hospital,Shanghai Zhongshan Hospital,NR (not deeply assessed; completeness row),BIOLOGICAL (registry classification),NR (not deeply assessed; completeness row),CD19/BCMA,In-vivo CD19/BCMA-directed CAR-T,Completeness,GD / autoimmune hyperthyroidism,Highest registered phase: EARLY_PHASE1,Registered statuses: RECRUITING,NCT07333677,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT07333677,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Hydroxychloroquine,Plaquenil,National Taiwan University Hospital,National Taiwan University Hospital,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),Pleiotropic immune pathways,Hydroxychloroquine immunomodulation,Completeness,Mild TED,Highest registered phase: PHASE4,Registered statuses: RECRUITING,NCT05126147,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT05126147,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
IBI311,IBI311 (20 mg); IBI311 (3-20 mg); IBI311 (10 mg); IBI311 (3-10mg/kg),Innovent Biologics (Suzhou) Co. Ltd.; Shanghai Changzheng Hospital; Peking University People's Hospital,Innovent Biologics (Suzhou) Co. Ltd.; Shanghai Changzheng Hospital; Peking University People's Hospital,NR (not deeply assessed; completeness row),BIOLOGICAL (registry classification); DRUG (registry classification),NR (not deeply assessed; completeness row),IGF-1R,IGF-1R inhibition,Completeness,"Active TED; Active moderate-to-severe TED; Chronic/inactive TED; TED, active and chronic/inactive cohorts",Highest registered phase: PHASE4,Registered statuses: COMPLETED; RECRUITING,NCT05795621; NCT06126783; NCT06269393; NCT06525506; NCT07113262; NCT07152340; NCT07152366; NCT07152392,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT05795621; ClinicalTrials.gov; NCT06126783; ClinicalTrials.gov; NCT06269393; ClinicalTrials.gov; NCT06525506; ClinicalTrials.gov; NCT07113262; ClinicalTrials.gov; NCT07152340; ClinicalTrials.gov; NCT07152366; ClinicalTrials.gov; NCT07152392,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,8,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
IMVT-1402,NR (no additional alias reported),Immunovant Sciences GmbH,Immunovant Sciences GmbH,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),FcRn,FcRn inhibition,Completeness,GD / autoimmune hyperthyroidism,Highest registered phase: PHASE2,Registered statuses: RECRUITING; ENROLLING_BY_INVITATION,NCT06727604; NCT07018323; NCT07286006,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT06727604; ClinicalTrials.gov; NCT07018323; ClinicalTrials.gov; NCT07286006,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,3,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Iscalimab (CFZ533),CFZ533,Novartis Pharmaceuticals,Novartis Pharmaceuticals,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),CD40,CD40 blockade,Completeness,GD / autoimmune hyperthyroidism,Highest registered phase: PHASE2,Registered statuses: COMPLETED,NCT02713256,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT02713256,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Lanreotide,"Lanreotide (Autogel formulation). Duration of treatment - 3 injections, 1 every 28 days",Ipsen,Ipsen,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),Somatostatin receptors,Somatostatin-receptor agonism,Completeness,Active TED,Highest registered phase: PHASE2,Registered statuses: TERMINATED,NCT00288522,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT00288522,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Lonigutamab,NR (no additional alias reported),ACELYRIN Inc.,ACELYRIN Inc.,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),IGF-1R,IGF-1R inhibition,Completeness,Active TED,Highest registered phase: PHASE1; PHASE2,Registered statuses: COMPLETED,NCT05683496,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT05683496,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
MHB018A,MHB018A injection,Minghui Pharmaceutical (Hangzhou) Ltd,Minghui Pharmaceutical (Hangzhou) Ltd,NR (not deeply assessed; completeness row),Humanized anti-IGF-1R antibody; VHH format reported in secondary conference coverage,Anti-IGF-1R VHH-format antibody fragment (format source depth: secondary),IGF-1R,IGF-1R inhibition,Completeness,"Active moderate-to-severe TED; Chronic/inactive TED; TED, active and chronic/inactive cohorts",Highest registered phase: PHASE3,Registered statuses: RECRUITING; NOT_YET_RECRUITING,NCT06989918; NCT07257185; NCT07262476; NCT07620405; NCT07622108; NCT07622121,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT06989918; NCT07257185; NCT07262476; NCT07620405; NCT07622108; NCT07622121; [459]; [460]; [461],2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,6,high,"Official frozen registry/ClinicalTrials.gov records identify a humanized anti-IGF-1R antibody [459, 460]; VHH format is reported by secondary conference coverage [461] and remains source-tier qualified.",NA (not scored; completeness row),Yes,2026-09-10,2.0.0
NTB003 / BCG009,NTB003; NTB003 and Placebo; BCG009,Nanjing Chia-tai Tianqing Pharmaceutical; Biocytogen,Nanjing Chia-tai Tianqing Pharmaceutical / Biocytogen co-development,Biocytogen; Nanjing Chia-tai Tianqing Pharmaceutical,Fully human monoclonal antibody,Second-generation fully human anti-IGF-1R monoclonal antibody,IGF-1R,IGF-1R inhibition,Completeness,"TED, active and chronic/inactive cohorts",Highest registered phase: PHASE1; PHASE2,Registered statuses: NOT_YET_RECRUITING,NCT07462130,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT07462130; [404]; [495],2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Frozen trial record provides clinical provenance [404]; the developer's official announcement identifies alias BCG009 and the second-generation fully human anti-IGF-1R construct [495].,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Otelixizumab,Otelixizumab - low dose; Otelixizumab - medium low dose; Otelixizumab - medium high dose; Otelixizumab - high dose,GlaxoSmithKline,GlaxoSmithKline,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),CD3,CD3 modulation,Completeness,Active TED,Highest registered phase: PHASE2,Registered statuses: TERMINATED,NCT01114503,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT01114503,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Rabbit anti-thymocyte globulin,NR (no additional alias reported),Medical University of Silesia,Medical University of Silesia,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),T lymphocytes,Broad T-cell depletion,Completeness,Active moderate-to-severe TED,Highest registered phase: NA,Registered statuses: UNKNOWN,NCT05199103,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT05199103,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Rilzabrutinib,Rilzabrutinib dose 1 | SAR444671; Rilzabrutinib dose 2 | SAR444671; SAR444671; Rilzabrutinib dose 1; Rilzabrutinib dose 2,Sanofi,Sanofi,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),BTK,BTK inhibition,Completeness,Active TED,Highest registered phase: PHASE2,Registered statuses: RECRUITING,NCT06984627,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT06984627,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Rituximab,Rituxan | MabThera; Mabthera | Rituxan | Zytux | L01XC02,"Silkiss, Rona Z., M.D., FACS; Göteborg University; Rebecca Bahn; Odense University Hospital","Silkiss, Rona Z., M.D., FACS; Göteborg University; Rebecca Bahn; Odense University Hospital",NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),CD20,CD20 B-cell depletion,Completeness,Active TED; Active moderate-to-severe TED; GD / autoimmune hyperthyroidism,Highest registered phase: PHASE4,Registered statuses: COMPLETED,NCT00150111; NCT00424151; NCT00595335; NCT02378298,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT00150111; ClinicalTrials.gov; NCT00424151; ClinicalTrials.gov; NCT00595335; ClinicalTrials.gov; NCT02378298,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,4,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Secukinumab,AIN457,Novartis Pharmaceuticals,Novartis Pharmaceuticals,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),IL-17A,IL-17A inhibition,Completeness,Active moderate-to-severe TED,Highest registered phase: PHASE3,Registered statuses: TERMINATED,NCT04737330,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT04737330,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
SHR-1314,NR (no additional alias reported),"Suzhou Suncadia Biopharmaceuticals Co., Ltd.","Suzhou Suncadia Biopharmaceuticals Co., Ltd.",NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),IL-6 pathway,IL-6 pathway blockade,Completeness,Active moderate-to-severe TED,Highest registered phase: PHASE2,Registered statuses: TERMINATED,NCT05394857,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT05394857,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Sirolimus (rapamycin),Sirolimus | Rapamycin; Sirolimus 1 mg Oral Tablet | Rapamycin | Rapamune; Rapamycin | Sirolimus; Rapamycin; Rapamycin | Rapamune; Sirolimus; Sirolimus 1 mg Oral Tablet,University of Pisa; Haukeland University Hospital; First Affiliated Hospital Xi'an Jiaotong University,University of Pisa; Haukeland University Hospital; First Affiliated Hospital Xi'an Jiaotong University,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),mTOR,mTOR inhibition,Completeness,Active moderate-to-severe TED,Highest registered phase: PHASE2,Registered statuses: UNKNOWN; RECRUITING,NCT04598815; NCT04936854; NCT05532072,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT04598815; ClinicalTrials.gov; NCT04936854; ClinicalTrials.gov; NCT05532072,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,3,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Technetium-99 methylene diphosphonate (99Tc-MDP),99Tc-MDP(99Technetium-Methylenediphosphonate Injection) | Yunke; Yunke; 99Tc-MDP(99Technetium-Methylenediphosphonate Injection),Dalian University,Dalian University,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),Not registry-specified,Immunomodulatory rationale; target not publicly verified here,Completeness,Active moderate-to-severe TED,Highest registered phase: PHASE4,Registered statuses: COMPLETED,NCT03948191,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT03948191,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Tocilizumab,Tocilizumab (RoActemra®); Tocilizumab 20 Mg/mL Intravenous Solution | Actemra; Tocilizumab(400mg) combined with Flupentixol Melitracen(0.5mg:10mg) | study group; Tocilizumab(400mg) | control group; Actemra; study group; control group; Tocilizumab 20 Mg/mL Intravenous Solution; Tocilizumab(400mg) combined with Flupentixol Melitracen(0.5mg:10mg); Tocilizumab(400mg),"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico; Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University; Hospital Clinico Universitario de Santiago; Sun Yat-sen University","Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico; Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University; Hospital Clinico Universitario de Santiago; Sun Yat-sen University",NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),IL-6R,IL-6 receptor blockade,Completeness,"Active TED; Active moderate-to-severe TED; Sight-threatening TED / dysthyroid optic neuropathy; TED, activity/severity not registry-specified",Highest registered phase: PHASE4,Registered statuses: UNKNOWN; RECRUITING; COMPLETED; WITHDRAWN,NCT01297699; NCT04876534; NCT06087731; NCT06927375,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT01297699; ClinicalTrials.gov; NCT04876534; ClinicalTrials.gov; NCT06087731; ClinicalTrials.gov; NCT06927375,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,4,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Tofacitinib,NR (no additional alias reported),The First Affiliated Hospital of Xiamen University,The First Affiliated Hospital of Xiamen University,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),JAK family,JAK inhibition,Completeness,Active moderate-to-severe TED,Highest registered phase: PHASE2,Registered statuses: RECRUITING,NCT07547930,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT07547930,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
