claim_id,artifact,artifact_location,report_occurrence_count,claim_text,claim_type,population,comparator,endpoint,timepoint,value,unit,source_ids,source_urls,exact_anchors,access_depth,evidence_tier,requires_inline_citation,first_pass_decision,first_pass_rationale,blind_verdict,blind_failure_mode,resolution,final_display_state,canonical_artifact,canonical_row_ids,canonical_artifact_sha256,display_order,data_cut,schema_version,notes
TRIAL-015-EFFICACY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=125,1,"NCT04583735: LS change −2.41 vs −0.92 mm; difference −1.48 (95% CI −2.28 to −0.69), p=0.0004.",trial_efficacy_result,Adults primary,Placebo,Change From Baseline in Proptosis of Study Eye at Week 24,Posted result timepoint,"LS change −2.41 vs −0.92 mm; difference −1.48 (95% CI −2.28 to −0.69), p=0.0004.",source-reported mixed endpoint units,817,https://clinicaltrials.gov/study/NCT04583735,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT04583735,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved efficacy field with endpoint-specific denominators; Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT04583735; field=efficacy,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,58,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0129 (BATCH-06): support; same coordinator, stance-hidden, not independent validation."
TRIAL-015-SAFETY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=139,1,NCT04583735: SAE 1/41 vs 1/20; hyperglycemia 6/41 vs 2/20; hearing impairment 9/41 vs 2/20; muscle spasms 17/41 vs 2/20.,trial_safety_result,Adults primary,Placebo,Trial-reported adverse events and serious adverse events,Posted result timepoint,SAE 1/41 vs 1/20; hyperglycemia 6/41 vs 2/20; hearing impairment 9/41 vs 2/20; muscle spasms 17/41 vs 2/20.,participants/events as reported,817,https://clinicaltrials.gov/study/NCT04583735,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT04583735,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved safety field; causality is not inferred when the registry does not report it.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT04583735; field=safety,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,59,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0020 (BATCH-01): support; same coordinator, stance-hidden, not independent validation."
TRIAL-016-INTERPRETATION,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=102,1,NCT04737330: secukinumab은 futility로 종료되었고 Week 16 response가 관찰되지 않았다.,trial_primary_interpretation,Adults primary,Secukinumab 300 mg; Placebo,Plan A - Percentage of Participants Achieving Overall Response; Plan B - Percentage of Participants Achieving Response in Reduction of Proptosis,Posted result timepoint,negative_futility,curated interpretation category,819,https://clinicaltrials.gov/study/NCT04737330,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT04737330,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Approved result interpretation retained exactly; caveat: Clear negative/futility trial.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT04737330; field=primary_interpretation,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,60,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0134 (BATCH-06): support; same coordinator, stance-hidden, not independent validation."
TRIAL-016-EFFICACY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=126,1,NCT04737330: Overall response 0/14 vs 0/14; CAS response 0/14 vs 3/14; PRR 0/14 vs 0/14.,trial_efficacy_result,Adults primary,Secukinumab 300 mg; Placebo,Plan A - Percentage of Participants Achieving Overall Response; Plan B - Percentage of Participants Achieving Response in Reduction of Proptosis,Posted result timepoint,Overall response 0/14 vs 0/14; CAS response 0/14 vs 3/14; PRR 0/14 vs 0/14.,source-reported mixed endpoint units,819,https://clinicaltrials.gov/study/NCT04737330,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT04737330,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved efficacy field with endpoint-specific denominators; Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT04737330; field=efficacy,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,61,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0079 (BATCH-04): support; same coordinator, stance-hidden, not independent validation."
TRIAL-017-INTERPRETATION,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=103,1,NCT05176639: THRIVE에서 veligrotug은 Week 15에 큰 proptosis/overall response 효과를 보였다.,trial_primary_interpretation,Adults primary,Placebo,Proptosis Responder Rate (PRR) in the Study Eye As Measured by Exophthalmometer,Posted result timepoint,positive_randomized,curated interpretation category,829,https://clinicaltrials.gov/study/NCT05176639,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05176639,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Approved result interpretation retained exactly; caveat: Five infusions; durability denominator와 responder conditioning을 명시.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05176639; field=primary_interpretation,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,62,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0145 (BATCH-06): support; same coordinator, stance-hidden, not independent validation."
TRIAL-017-EFFICACY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=127,1,"NCT05176639: PRR 70.0% vs 5.26%, p<0.0001; proptosis LS change −2.90 vs −0.48 mm; overall response 66.83% vs 5.26%; diplopia response 59.07% vs 19.89%.",trial_efficacy_result,Adults primary,Placebo,Proptosis Responder Rate (PRR) in the Study Eye As Measured by Exophthalmometer,Posted result timepoint,"PRR 70.0% vs 5.26%, p<0.0001; proptosis LS change −2.90 vs −0.48 mm; overall response 66.83% vs 5.26%; diplopia response 59.07% vs 19.89%.",source-reported mixed endpoint units,829,https://clinicaltrials.gov/study/NCT05176639,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05176639,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved efficacy field with endpoint-specific denominators; Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05176639; field=efficacy,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,63,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0109 (BATCH-05): support; same coordinator, stance-hidden, not independent validation."
TRIAL-017-SAFETY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=140,1,NCT05176639: SAE 7/75 vs 0/38; muscle spasms 34/75 vs 3/38; infusion reaction 13/75 vs 2/38; hearing-related symptoms present.,trial_safety_result,Adults primary,Placebo,Trial-reported adverse events and serious adverse events,Posted result timepoint,SAE 7/75 vs 0/38; muscle spasms 34/75 vs 3/38; infusion reaction 13/75 vs 2/38; hearing-related symptoms present.,participants/events as reported,829,https://clinicaltrials.gov/study/NCT05176639,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05176639,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved safety field; causality is not inferred when the registry does not report it.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05176639; field=safety,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,64,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0058 (BATCH-03): support; same coordinator, stance-hidden, not independent validation."
TRIAL-017-DURABILITY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=152,1,NCT05176639: Week 52에서 initial responders의 70%가 PRR 유지; evaluable follow-up subset 21/30.,trial_durability_result_or_limit,Adults primary,Placebo,Durability or durability limitation,Posted result timepoint,Week 52에서 initial responders의 70%가 PRR 유지; evaluable follow-up subset 21/30.,trial-specific,829,https://clinicaltrials.gov/study/NCT05176639,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05176639,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved durability field; responder conditioning and absent follow-up are retained.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05176639; field=durability,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,65,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0201 (BATCH-09): support; same coordinator, stance-hidden, not independent validation."
TRIAL-018-INTERPRETATION,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=104,1,NCT05276063: linsitinib high dose는 Week 24 PRR와 overall response를 유의하게 개선했으나 low dose primary comparison은 유의하지 않았다.,trial_primary_interpretation,Adults primary,Placebo; Low Dose; High Dose,Percentage of Subjects Who Are Proptosis Responders at Week 24,Posted result timepoint,positive_high_dose,curated interpretation category,831,https://clinicaltrials.gov/study/NCT05276063,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05276063,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Approved result interpretation retained exactly; caveat: One-sided alpha 2.5%; mixed Graves/Hashimoto etiology but all had TED.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05276063; field=primary_interpretation,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,66,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0193 (BATCH-08): support; same coordinator, stance-hidden, not independent validation."
TRIAL-018-EFFICACY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=128,1,"NCT05276063: PRR 150 mg BID 51.7% vs 18.8%, p=0.01, RD 0.345 (95% CI 0.098–0.593); 75 mg 38.9%, p=0.090; GO-QOL difference +10.776, p=0.002.",trial_efficacy_result,Adults primary,Placebo; Low Dose; High Dose,Percentage of Subjects Who Are Proptosis Responders at Week 24,Posted result timepoint,"PRR 150 mg BID 51.7% vs 18.8%, p=0.01, RD 0.345 (95% CI 0.098–0.593); 75 mg 38.9%, p=0.090; GO-QOL difference +10.776, p=0.002.",source-reported mixed endpoint units,831,https://clinicaltrials.gov/study/NCT05276063,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05276063,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved efficacy field with endpoint-specific denominators; Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05276063; field=efficacy,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,67,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0153 (BATCH-07): support; same coordinator, stance-hidden, not independent validation."
TRIAL-018-SAFETY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=141,1,"NCT05276063: SAE 2/29 high, 0/30 low, 1/31 placebo; high-dose GI/fatigue/transaminase signals.",trial_safety_result,Adults primary,Placebo; Low Dose; High Dose,Trial-reported adverse events and serious adverse events,Posted result timepoint,"SAE 2/29 high, 0/30 low, 1/31 placebo; high-dose GI/fatigue/transaminase signals.",participants/events as reported,831,https://clinicaltrials.gov/study/NCT05276063,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05276063,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved safety field; causality is not inferred when the registry does not report it.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05276063; field=safety,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,68,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0093 (BATCH-04): support; same coordinator, stance-hidden, not independent validation."
TRIAL-019-INTERPRETATION,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=105,1,NCT05907668: batoclimab+background ATD에서 biochemical control 및 ATD reduction 신호가 있었지만 remission/cure 증거는 아니다.,trial_primary_interpretation,Adults primary,NA (no comparator arm identified),"Percentage of Participants Who Achieved Normalization of Free Triiodothyronine (FT3) and Free Thyroxine (FT4), or Have FT3 and/or FT4 Below the Lower Limit of Normal (LLN) at Week 24 Without Increase in ATD Dose Compared to Baseline",Posted result timepoint,single_arm_biochemical,curated interpretation category,843,https://clinicaltrials.gov/study/NCT05907668,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05907668,Frozen full protocol and posted-results record,A1 official registry,Yes,support,"Approved result interpretation retained exactly; caveat: Single arm; abstract n=25는 earlier cut, registry n=32를 canonical로 사용.",support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05907668; field=primary_interpretation,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,69,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0095 (BATCH-04): support; same coordinator, stance-hidden, not independent validation."
TRIAL-019-EFFICACY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=129,1,NCT05907668: Week 24 biochemical response without ATD increase 68.8% (95% CI 50.0–83.9); normalized FT3/FT4 with ATD ≤50% baseline 53.1%; off ATD with normalized FT3/FT4 31.3% (95% CI 16.1–50.0).,trial_efficacy_result,Adults primary,NA (no comparator arm identified),"Percentage of Participants Who Achieved Normalization of Free Triiodothyronine (FT3) and Free Thyroxine (FT4), or Have FT3 and/or FT4 Below the Lower Limit of Normal (LLN) at Week 24 Without Increase in ATD Dose Compared to Baseline",Posted result timepoint,Week 24 biochemical response without ATD increase 68.8% (95% CI 50.0–83.9); normalized FT3/FT4 with ATD ≤50% baseline 53.1%; off ATD with normalized FT3/FT4 31.3% (95% CI 16.1–50.0).,source-reported mixed endpoint units,843,https://clinicaltrials.gov/study/NCT05907668,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05907668,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved efficacy field with endpoint-specific denominators; Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05907668; field=efficacy,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,70,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0108 (BATCH-05): support; same coordinator, stance-hidden, not independent validation."
TRIAL-019-DURABILITY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=153,1,NCT05907668: Off-ATD normalization은 해당 시점의 상태이며 durable remission 추적 아님.,trial_durability_result_or_limit,Adults primary,NA (no comparator arm identified),Durability or durability limitation,Posted result timepoint,Off-ATD normalization은 해당 시점의 상태이며 durable remission 추적 아님.,trial-specific,843,https://clinicaltrials.gov/study/NCT05907668,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05907668,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved durability field; responder conditioning and absent follow-up are retained.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05907668; field=durability,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,71,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0174 (BATCH-07): support; same coordinator, stance-hidden, not independent validation."
TRIAL-020-INTERPRETATION,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=106,1,NCT05987423: SatraGO-1 active-TED Week 24 primary PRR는 실패했다.,trial_primary_interpretation,Adults primary,Placebo,Percentage of Participants in the Active TED Population Who Achieved ≥ 2 Millimeters (mm) Reduction in Proptosis From Baseline at Week 24 in the Study Eye,Posted result timepoint,negative_primary_secondary_signals,curated interpretation category,844,https://clinicaltrials.gov/study/NCT05987423,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05987423,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Approved result interpretation retained exactly; caveat: Secondary p-values nominal/multiplicity-sensitive; primary failure를 우선.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05987423; field=primary_interpretation,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,72,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0158 (BATCH-07): support; same coordinator, stance-hidden, not independent validation."
TRIAL-020-EFFICACY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=130,1,"NCT05987423: Active PRR 49.0% vs 31.2%, p=0.0715; RD 17.9 points (95.03% CI −1.6 to 37.3). Some secondary activity endpoints nominally positive.",trial_efficacy_result,Adults primary,Placebo,Percentage of Participants in the Active TED Population Who Achieved ≥ 2 Millimeters (mm) Reduction in Proptosis From Baseline at Week 24 in the Study Eye,Posted result timepoint,"Active PRR 49.0% vs 31.2%, p=0.0715; RD 17.9 points (95.03% CI −1.6 to 37.3). Some secondary activity endpoints nominally positive.",source-reported mixed endpoint units,844,https://clinicaltrials.gov/study/NCT05987423,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05987423,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved efficacy field with endpoint-specific denominators; Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT05987423; field=efficacy,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,73,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0046 (BATCH-02): support; same coordinator, stance-hidden, not independent validation."
TRIAL-021-INTERPRETATION,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=107,1,NCT06021054: THRIVE-2에서 chronic TED Week 15 PRR가 크게 개선되었다.,trial_primary_interpretation,Adults primary,NR (randomized comparator arm not explicitly typed in registry),Proptosis Responder Rate (PRR) in the Most Proptotic Eye as Measured by Exophthalmometer,Posted result timepoint,positive_randomized,curated interpretation category,845,https://clinicaltrials.gov/study/NCT06021054,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Approved result interpretation retained exactly; caveat: Death causality를 추론하지 않음; no peer-reviewed full Phase 3 paper found.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT06021054; field=primary_interpretation,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,74,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0057 (BATCH-03): support; same coordinator, stance-hidden, not independent validation."
TRIAL-021-EFFICACY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=131,1,"NCT06021054: PRR 57.28% vs 8.22%, p<0.0001; RD 49.06 points (95% CI 37.71–60.40); proptosis LS change −2.35 vs −0.46 mm; diplopia response 55.57% vs 24.70%.",trial_efficacy_result,Adults primary,NR (randomized comparator arm not explicitly typed in registry),Proptosis Responder Rate (PRR) in the Most Proptotic Eye as Measured by Exophthalmometer,Posted result timepoint,"PRR 57.28% vs 8.22%, p<0.0001; RD 49.06 points (95% CI 37.71–60.40); proptosis LS change −2.35 vs −0.46 mm; diplopia response 55.57% vs 24.70%.",source-reported mixed endpoint units,845,https://clinicaltrials.gov/study/NCT06021054,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved efficacy field with endpoint-specific denominators; Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT06021054; field=efficacy,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,75,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0048 (BATCH-02): support; same coordinator, stance-hidden, not independent validation."
TRIAL-021-SAFETY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=142,1,NCT06021054: Through Week 52: death 1/125 vs 0/63; SAE 10/125 vs 3/63; registry는 death cause/relatedness 미기재.,trial_safety_result,Adults primary,NR (randomized comparator arm not explicitly typed in registry),Trial-reported adverse events and serious adverse events,Posted result timepoint,Through Week 52: death 1/125 vs 0/63; SAE 10/125 vs 3/63; registry는 death cause/relatedness 미기재.,participants/events as reported,845,https://clinicaltrials.gov/study/NCT06021054,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved safety field; causality is not inferred when the registry does not report it.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT06021054; field=safety,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,76,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0077 (BATCH-04): support; same coordinator, stance-hidden, not independent validation."
TRIAL-021-DURABILITY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=154,1,NCT06021054: Efficacy durability beyond Week 15 not posted.,trial_durability_result_or_limit,Adults primary,NR (randomized comparator arm not explicitly typed in registry),Durability or durability limitation,Posted result timepoint,Efficacy durability beyond Week 15 not posted.,trial-specific,845,https://clinicaltrials.gov/study/NCT06021054,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved durability field; responder conditioning and absent follow-up are retained.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT06021054; field=durability,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,77,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0072 (BATCH-03): support; same coordinator, stance-hidden, not independent validation."
TRIAL-022-INTERPRETATION,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=108,1,NCT06106828: SatraGO-2는 active-TED Week 24 primary PRR를 충족했다.,trial_primary_interpretation,Adults primary,Placebo,Percentage of Participants in the Active TED Population Who Achieved ≥ 2 Millimeters (mm) Reduction in Proptosis From Baseline at Week 24 in the Study Eye,Posted result timepoint,positive_randomized,curated interpretation category,849,https://clinicaltrials.gov/study/NCT06106828,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Approved result interpretation retained exactly; caveat: Secondary p-values multiplicity caution; satralizumab TED indication pending at cutoff.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT06106828; field=primary_interpretation,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,78,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0018 (BATCH-01): support; same coordinator, stance-hidden, not independent validation."
TRIAL-022-EFFICACY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=132,1,"NCT06106828: Active PRR 52.9% vs 23.4%, p=0.0011; RD 28.9 points (95.03% CI 11.5–46.2); adjusted proptosis difference −1.02 mm, p=0.0027.",trial_efficacy_result,Adults primary,Placebo,Percentage of Participants in the Active TED Population Who Achieved ≥ 2 Millimeters (mm) Reduction in Proptosis From Baseline at Week 24 in the Study Eye,Posted result timepoint,"Active PRR 52.9% vs 23.4%, p=0.0011; RD 28.9 points (95.03% CI 11.5–46.2); adjusted proptosis difference −1.02 mm, p=0.0027.",source-reported mixed endpoint units,849,https://clinicaltrials.gov/study/NCT06106828,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved efficacy field with endpoint-specific denominators; Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT06106828; field=efficacy,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,79,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0063 (BATCH-03): support; same coordinator, stance-hidden, not independent validation."
TRIAL-022-SAFETY,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=143,1,"NCT06106828: SAE 2/64 vs 3/62; ALT 6/64 vs 1/62, AST 4/64 vs 1/62, neutrophils decreased 4/64 vs 1/62.",trial_safety_result,Adults primary,Placebo,Trial-reported adverse events and serious adverse events,Posted result timepoint,"SAE 2/64 vs 3/62; ALT 6/64 vs 1/62, AST 4/64 vs 1/62, neutrophils decreased 4/64 vs 1/62.",participants/events as reported,849,https://clinicaltrials.gov/study/NCT06106828,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Exact approved safety field; causality is not inferred when the registry does not report it.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT06106828; field=safety,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,80,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0026 (BATCH-02): support; same coordinator, stance-hidden, not independent validation."
TRIAL-023-INTERPRETATION,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=109,1,NCT06179875: feeder-trial nonresponders의 open-label treatment 결과이며 randomized comparative efficacy로 해석할 수 없다.,trial_primary_interpretation,Adults primary,NA (no comparator arm identified),Proptosis Responder Rate (PRR) in the Most Proptotic Eye as Measured by Exophthalmometer,Posted result timepoint,selected_open_label,curated interpretation category,852,https://clinicaltrials.gov/study/NCT06179875,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06179875,Frozen full protocol and posted-results record,A1 official registry,Yes,support,Approved result interpretation retained exactly; caveat: Selected cohorts; live cut confirmed enrollment 139 and no registry drift.,support,support,NA (no first-pass correction required),final_displayed_blind_support,result_trial_curation_v2.csv,trial_id=NCT06179875; field=primary_interpretation,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30,81,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0132 (BATCH-06): support; same coordinator, stance-hidden, not independent validation."
