raw_occurrence_id,trial_id,registry_intervention_type,raw_intervention,raw_other_names,raw_description,raw_arm_labels,component_index,canonical_asset,aliases,role,asset_scope,target,mechanism_class,pipeline_inclusion,exclusion_reason,source_id,mapping_confidence,manual_review_status
NCT02059655-273,NCT02059655,DRUG,Eye drop solution,1 drop daily | Hypromellose Ph Eur 0.3g in 100ml | Sodium chloride | Potassium chloride | Borax | Boric acid | Benzalkonium chloride solution | Purified water | Sodium hydroxide solution (to adjust pH) | Hydrochloric acid,Artificial tear drops,Eye drop solution,1,Saline/vehicle control,Eye drop solution | 1 drop daily | Hypromellose Ph Eur 0.3g in 100ml | Sodium chloride | Potassium chloride | Borax | Boric acid | Benzalkonium chloride solution | Purified water | Sodium hydroxide solution (to adjust pH) | Hydrochloric acid,comparator/control,placebo/comparator,NA,Vehicle/sham control,No,Vehicle or sham comparator,ClinicalTrials.gov; NCT02059655,high,PASS_CURATED_RULE
NCT02112643-108,NCT02112643,DRUG,Sodium selenate,Selenium,A 100 microgram pill will be orally administered twice a day for 6 months.,Selenium,1,Selenium/antioxidant supplement,Sodium selenate | Selenium,adjunct/supportive,adjunct/supportive,Redox pathways,Antioxidant supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT02112643,high,PASS_CURATED_RULE
NCT02112643-109,NCT02112643,DIETARY_SUPPLEMENT,Sugar pill,Placebo,"The placebo pill will be constructed to look exactly like the selenium pill, but will have no active ingredients. This will be orally administered for 6 months.",Sugar pill,1,Placebo,Sugar pill,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT02112643,high,PASS_CURATED_RULE
NCT02114619-055,NCT02114619,DRUG,Low dose of I-131,NR (none reported),We wil administer 100 micro currie of iodine per thyroid gram,Low dose of I-131,1,Radioiodine,Low dose of I-131,procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT02114619,high,PASS_CURATED_RULE
NCT02114619-056,NCT02114619,DRUG,Intermediate dose,NR (none reported),We will administer 150 micro currie of iodine per thyroid gram,Intermediate dose,1,Radioiodine,Intermediate dose,procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT02114619,high,PASS_CURATED_RULE
NCT02114619-057,NCT02114619,DRUG,High dose,NR (none reported),We will administer 200 micro currie of iodine per thyroid gram,High dose,1,Radioiodine,High dose,procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT02114619,high,PASS_CURATED_RULE
NCT02155049-097,NCT02155049,DRUG,bimatoprost 0.03%,"Lumigan (Allergan, Inc, Irvine, California)",The patients will receive a single daily drop of bimatoprost for six months.,Prostaglandin Analogues,1,Bimatoprost,"bimatoprost 0.03% | Lumigan (Allergan, Inc, Irvine, California)",adjunct/supportive,adjunct/supportive,Prostaglandin FP receptor,Ophthalmic symptom-directed therapy,No,Adjunct/symptom-directed intervention,ClinicalTrials.gov; NCT02155049,high,PASS_CURATED_RULE
NCT02203682-115,NCT02203682,DRUG,Doxycycline hyclate,NR (none reported),Tab. Doxycycline 50 mg PO per day for 12 weeks,Doxycycline,1,Doxycycline,Doxycycline hyclate,adjunct/supportive,adjunct/supportive,Pleiotropic inflammatory pathways,Tetracycline immunomodulation,No,Adjunct/repurposing evidence,ClinicalTrials.gov; NCT02203682,high,PASS_CURATED_RULE
NCT02203682-116,NCT02203682,DRUG,Placebo,NR (none reported),Tablet placebo for 12 weeks,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT02203682,high,PASS_CURATED_RULE
NCT02339142-238,NCT02339142,RADIATION,External beam radiotherapy,NR (none reported),100 Rads to each lateral orbit x 10 doses,Combined radiotherapy and iv corticosteroid,1,Orbital radiotherapy,External beam radiotherapy,procedure,procedure,Orbital tissue,Orbital radiotherapy,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT02339142,high,PASS_CURATED_RULE
NCT02339142-239,NCT02339142,DRUG,intravenous corticosteroids (methylprednisolone),NR (none reported),"Intravenous methylprednisolone (iv MP) 500 mg weekly x 6 weeks, then iv MP 250 mg x 6 weeks",Combined radiotherapy and iv corticosteroid | iv Corticosteroid,1,Methylprednisolone,intravenous corticosteroids (methylprednisolone),standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT02339142,high,PASS_CURATED_RULE
NCT02373995-089,NCT02373995,BIOLOGICAL,LAB4,NR (none reported),Additional treatment with the specific LAB4 probiotic preparation,LAB4,1,LAB4 probiotic consortium,LAB4,adjunct/supportive,adjunct/supportive,Gut microbiome,Probiotic/microbiome modulation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT02373995,high,PASS_CURATED_RULE
NCT02378298-025,NCT02378298,DRUG,Rituximab,Mabthera | Rituxan | Zytux | L01XC02,"Rituximab (RTX) is a mouse-human chimeric antibody designed towards (CD20) pre B and mature B lymphocytes and that blocks B-cells activation without affecting the regenerating of B cells from stem cells or the plasma cells immunoglobulin production. Rituximab is used in the treatment of hematologic malignancies (B cells lymphoma, chronic lymphatic leukaemia, Waldenströms macroglobulinemia) and autoimmune diseases with B-cell involvement such as rheumatoid arthritis, thrombocytopenic purpura, SLE).",Non-responder RTX+MTX | Relapse RTX+MTX,1,Rituximab,Mabthera | Rituxan | Zytux | L01XC02,active/intervention,pipeline/approved asset,CD20,CD20 B-cell depletion,Yes,NA (included),ClinicalTrials.gov; NCT02378298,high,PASS_CURATED_RULE
NCT02378298-026,NCT02378298,DRUG,Iv Methylprednisolone,Solumedrol,Solumedrol is an intravenous glucocorticoid that are the gold standard in TAO. All patients start with 500 mg/weeks for 4 weeks. The response is evaluated and patients are randomised to non-responders or responders. The responders continues with the gold standard treatment that is another 500 mg solumedrol/ week in 2 weeks and then 250 mg/ week in 6 weeks.,Methylprednisolone iv,1,Methylprednisolone,Iv Methylprednisolone | Solumedrol,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT02378298,high,PASS_CURATED_RULE
NCT02378298-027,NCT02378298,DRUG,peroral methylprednisolone and Methotrexate,Prednisolone,Peroral GC (starting with 30 mg and tapering down) is combined with 15-20 mg MTX /week to reduce the needed dose of steroids,Relapse po GC+MTX,1,Methylprednisolone,peroral methylprednisolone and Methotrexate | Prednisolone,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT02378298,high,PASS_CURATED_RULE
NCT02378298-027,NCT02378298,DRUG,peroral methylprednisolone and Methotrexate,Prednisolone,Peroral GC (starting with 30 mg and tapering down) is combined with 15-20 mg MTX /week to reduce the needed dose of steroids,Relapse po GC+MTX,2,Methotrexate,peroral methylprednisolone and Methotrexate | Prednisolone,standard of care,standard of care,Folate metabolism/immune modulation,Conventional immunosuppression,No,Managed in SoC table,ClinicalTrials.gov; NCT02378298,high,PASS_CURATED_RULE
NCT02384668-177,NCT02384668,DIETARY_SUPPLEMENT,Cholecalciferol,Vitamin D3,"One tablet per day. The duration of the intervention period is between 24-36 months. This is defined by the time of ATD treatment withdrawal, which is scheduled between approximately 12-18(-24) months after randomisation. Vitamin D supplementation will continue 12 months after withdrawal of ATD treatment or until relapse of Graves' Disease if this occurs prior.",Cholecalciferol,1,Vitamin D/alfacalcidol,Cholecalciferol | Vitamin D3,adjunct/supportive,adjunct/supportive,Vitamin D receptor pathway,Vitamin D supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT02384668,high,PASS_CURATED_RULE
NCT02384668-178,NCT02384668,DIETARY_SUPPLEMENT,Placebo,NR (none reported),One tablet per day. Placebo tablet identical in appearance to cholecalciferol tablet. Duration and cessation of treatment identical to intervention with cholecalciferol.,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT02384668,high,PASS_CURATED_RULE
NCT02393183-219,NCT02393183,DRUG,ASTED,Antioxidant Supplement for Thyroid Eye Disease,A tablet of ASTED will be taken twice a day,ASTED,1,Selenium/antioxidant supplement,ASTED | Antioxidant Supplement for Thyroid Eye Disease,adjunct/supportive,adjunct/supportive,Redox pathways,Antioxidant supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT02393183,high,PASS_CURATED_RULE
NCT02393183-220,NCT02393183,DIETARY_SUPPLEMENT,Selenium,NR (none reported),A tablet of 100 microgram of Selenium (same shape and color) will be taken twice a day,Selenium,1,Selenium/antioxidant supplement,Selenium,adjunct/supportive,adjunct/supportive,Redox pathways,Antioxidant supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT02393183,high,PASS_CURATED_RULE
NCT02393183-221,NCT02393183,OTHER,Placebo,NR (none reported),A tablet of Placebo (same shape and color) will be taken twice a day,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT02393183,high,PASS_CURATED_RULE
NCT02422368-060,NCT02422368,DRUG,Methylprednisolone + ASTED,NR (none reported),"ASTED tablet: Twice daily for 6 months

Methylprednisolone:

Methylprednisolone tablet of 50 and 5 mg, company….) 1mg/kg for the first 2 weeks, 0.8mg/kg for 2 weeks, 0.7 mg/kg for 2 weeks, and then tapering off the methylprednisolone in 6 weeks (total duration of 12 weeks) by 8-10 mg per week. For example, a patient with 75 kg weight will receive 75 mg for 2 weeks, 60 mg for 2 weeks, 52.5 mg for 2 weeks, and then decreasing by 8-10 mg per week for 6 weeks. The dose regiment will be written and handed to the patient on the first visit and will be monitored during the follow ups.",Methylprednisolone + ASTED,1,Methylprednisolone,Methylprednisolone + ASTED,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT02422368,high,PASS_CURATED_RULE
NCT02422368-060,NCT02422368,DRUG,Methylprednisolone + ASTED,NR (none reported),"ASTED tablet: Twice daily for 6 months

Methylprednisolone:

Methylprednisolone tablet of 50 and 5 mg, company….) 1mg/kg for the first 2 weeks, 0.8mg/kg for 2 weeks, 0.7 mg/kg for 2 weeks, and then tapering off the methylprednisolone in 6 weeks (total duration of 12 weeks) by 8-10 mg per week. For example, a patient with 75 kg weight will receive 75 mg for 2 weeks, 60 mg for 2 weeks, 52.5 mg for 2 weeks, and then decreasing by 8-10 mg per week for 6 weeks. The dose regiment will be written and handed to the patient on the first visit and will be monitored during the follow ups.",Methylprednisolone + ASTED,2,Selenium/antioxidant supplement,Methylprednisolone + ASTED,adjunct/supportive,adjunct/supportive,Redox pathways,Antioxidant supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT02422368,high,PASS_CURATED_RULE
NCT02422368-061,NCT02422368,DRUG,Methylprednisolone +Placebo,NR (none reported),"Placebo: twice daily

Methylprednisolone:

Methylprednisolone tablet of 50 and 5 mg, company….) 1mg/kg for the first 2 weeks, 0.8mg/kg for 2 weeks, 0.7 mg/kg for 2 weeks, and then tapering off the methylprednisolone in 6 weeks (total duration of 12 weeks) by 8-10 mg per week. For example, a patient with 75 kg weight will receive 75 mg for 2 weeks, 60 mg for 2 weeks, 52.5 mg for 2 weeks, and then decreasing by 8-10 mg per week for 6 weeks. The dose regiment will be written and handed to the patient on the first visit and will be monitored during the follow ups.",Methylprednisolone + Placebo,1,Methylprednisolone,Methylprednisolone +Placebo,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT02422368,high,PASS_CURATED_RULE
NCT02422368-061,NCT02422368,DRUG,Methylprednisolone +Placebo,NR (none reported),"Placebo: twice daily

Methylprednisolone:

Methylprednisolone tablet of 50 and 5 mg, company….) 1mg/kg for the first 2 weeks, 0.8mg/kg for 2 weeks, 0.7 mg/kg for 2 weeks, and then tapering off the methylprednisolone in 6 weeks (total duration of 12 weeks) by 8-10 mg per week. For example, a patient with 75 kg weight will receive 75 mg for 2 weeks, 60 mg for 2 weeks, 52.5 mg for 2 weeks, and then decreasing by 8-10 mg per week for 6 weeks. The dose regiment will be written and handed to the patient on the first visit and will be monitored during the follow ups.",Methylprednisolone + Placebo,2,Placebo,Methylprednisolone +Placebo,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT02422368,high,PASS_CURATED_RULE
NCT02535975-042,NCT02535975,DRUG,Metformin,NR (none reported),Tablets metformin 500 mg PO three times a day for 24 weeks,Metformin,1,Metformin,NR (no additional alias),adjunct/supportive,adjunct/supportive,Metabolic/AMPK pathways,Metabolic immunomodulation hypothesis,No,Adjunct/repurposing evidence,ClinicalTrials.gov; NCT02535975,high,PASS_CURATED_RULE
NCT02535975-043,NCT02535975,DRUG,Placebo,NR (none reported),Tablets placebo PO three times a day for 24 weeks,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT02535975,high,PASS_CURATED_RULE
NCT02713256-154,NCT02713256,DRUG,CFZ533,NR (none reported),CFZ533 intravenously over approximately one hour,CFZ533 10mg/kg,1,Iscalimab (CFZ533),CFZ533,active/intervention,pipeline/approved asset,CD40,CD40 blockade,Yes,NA (included),ClinicalTrials.gov; NCT02713256,high,PASS_CURATED_RULE
NCT02727738-198,NCT02727738,DIETARY_SUPPLEMENT,Selenium,Syrel,Selenium 80 mg bid for 90 days,Methimazole plus selenium,1,Selenium/antioxidant supplement,Selenium | Syrel,adjunct/supportive,adjunct/supportive,Redox pathways,Antioxidant supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT02727738,high,PASS_CURATED_RULE
NCT02727738-199,NCT02727738,DRUG,Methimazole,Tapazole,"Methimazole starting dose depending on FT3 values (15 mg/day or 20 mg/day or 30 mg/day, for FT3 values \<10 pg/ml, 10-15 pg/ml, \>15 pg/ml, respectively) to be tapered by 5 mg/day every 15 days down to values sufficient for FT3 to be normal",Methimazole | Methimazole plus selenium,1,Methimazole / antithyroid drug,Methimazole | Tapazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT02727738,high,PASS_CURATED_RULE
NCT02845336-015,NCT02845336,DRUG,Celecoxib,Celebrex,celecoxib 100mg PO twice per day for 3 months,Celecoxib,1,Celecoxib,Celebrex,active/intervention,pipeline/approved asset,COX-2,COX-2 inhibition,Yes,NA (included; repurposing program),ClinicalTrials.gov; NCT02845336,high,PASS_CURATED_RULE
NCT02845336-016,NCT02845336,DRUG,artificial tears,NR (none reported),"Standard care for mild thyroid eye disease is lubrication with artificial tears (over the counter), avoidance of cigarette smoke.",Celecoxib | Control,1,Artificial tears,NR (no additional alias),adjunct/supportive,adjunct/supportive,Ocular surface,Lubricating supportive care,No,Adjunct/symptom-directed intervention,ClinicalTrials.gov; NCT02845336,high,PASS_CURATED_RULE
NCT02904330-005,NCT02904330,DRUG,K1-70 intramuscular or K1-70 intravenous,NR (none reported),Each subject will receive one dose of K1-70 by IM injection or one dose of K1-70 by IV infusion on the morning of Day 1.,Single dose,1,K1-70,K1-70 intramuscular or K1-70 intravenous,active/intervention,pipeline/approved asset,TSHR,Competitive TSHR blockade,Yes,NA (included),ClinicalTrials.gov; NCT02904330,high,PASS_CURATED_RULE
NCT02973802-285,NCT02973802,BIOLOGICAL,ATX-GD-59,NR (none reported),Disease specific immune modulating treatment for Graves Disease,ATX-GD-59 treatment,1,ATX-GD-59,NR (no additional alias),active/intervention,pipeline/approved asset,TSHR-reactive T cells,TSHR antigen-specific tolerance,Yes,NA (included),ClinicalTrials.gov; NCT02973802,high,PASS_CURATED_RULE
NCT02993302-003,NCT02993302,DRUG,1α-D3,1α 25-dihydroxyvitamin d3 | alfacalcidol,patients were given PTU and 1α-D3,PTU-Oral 1α-D3,1,Vitamin D/alfacalcidol,1α-D3 | 1α 25-dihydroxyvitamin d3 | alfacalcidol,adjunct/supportive,adjunct/supportive,Vitamin D receptor pathway,Vitamin D supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT02993302,high,PASS_CURATED_RULE
NCT02993302-004,NCT02993302,DRUG,Placebos,placebo,patients were given PTU and placebos,PTU-Placebos,1,Placebo,Placebos,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT02993302,high,PASS_CURATED_RULE
NCT03066076-074,NCT03066076,DRUG,Antithyroid Drug,Thiamazol | Propylthiouracil,Antithyroid drug,Thyroidectomy,1,Methimazole / antithyroid drug,Antithyroid Drug | Thiamazol | Propylthiouracil,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT03066076,high,PASS_CURATED_RULE
NCT03066076-075,NCT03066076,PROCEDURE,Total thyroidectomy,NR (none reported),Operation,Antithyroid drug,1,Total thyroidectomy,NR (no additional alias),procedure,procedure,Thyroid gland,Surgical elimination of thyroid hormone source,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT03066076,high,PASS_CURATED_RULE
NCT03098225-265,NCT03098225,RADIATION,Orbital radiotherapy,OR,A high-voltage linear accelerator will be used and a cumulative radiation dose of 20 Gy will be delivered to each eye in 10 fractionated doses over a period of 2 weeks. All patients will be treated in both eyes.,Radiotherapy,1,Orbital radiotherapy,OR,procedure,procedure,Orbital tissue,Orbital radiotherapy,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT03098225,high,PASS_CURATED_RULE
NCT03098225-266,NCT03098225,DRUG,Methylprednisolone,ivGC,"Methylprednisolone pulse therapy for 12 weeks as follows: 500 mg IV once weekly for 6 weeks, then 250 mg IV once weekly for a further 6 weeks. Cumulative dose 4.5 g.",No Radiotherapy | Radiotherapy,1,Methylprednisolone,ivGC,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT03098225,high,PASS_CURATED_RULE
NCT03107078-171,NCT03107078,DRUG,Glucocorticoids,Methylprednisolone,Intravenous Glucocorticoids (GCs),Group IIa | Group IIb | Group Ia | Group Ib,1,Methylprednisolone,Glucocorticoids,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT03107078,high,PASS_CURATED_RULE
NCT03110848-032,NCT03110848,DRUG,Atorvastatin,Statins,Atorvastatin 20 mg daily,Statins,1,Statin,Atorvastatin | Statins,adjunct/supportive,adjunct/supportive,HMG-CoA reductase/pleiotropic pathways,Statin/pleiotropic anti-inflammatory,No,Adjunct/repurposing evidence; not core pipeline,ClinicalTrials.gov; NCT03110848,high,PASS_CURATED_RULE
NCT03110848-033,NCT03110848,DRUG,Methylprednisolone,Intravenous glucocorticoids,"500 mg of methylprednisolone weekly for 6 weeks, followed by 250 mg weekly for another 6 weeks, for a total dose of 4.5 mg.",No statins | Statins,1,Methylprednisolone,Intravenous glucocorticoids,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT03110848,high,PASS_CURATED_RULE
NCT03131726-195,NCT03131726,DRUG,Simvastatin 40mg,ATC-code: C10AA01,see arm description,Simvastatin,1,Statin,Simvastatin 40mg | ATC-code: C10AA01,adjunct/supportive,adjunct/supportive,HMG-CoA reductase/pleiotropic pathways,Statin/pleiotropic anti-inflammatory,No,Adjunct/repurposing evidence; not core pipeline,ClinicalTrials.gov; NCT03131726,high,PASS_CURATED_RULE
NCT03298867-120,NCT03298867,BIOLOGICAL,Teprotumumab,HZN-001,Teprotumumab is a fully human anti-IGF-1R mAb. Teprotumumab will be provided in single-dose 20 mL glass vials as a freeze-dried powder. Each vial of teprotumumab must be reconstituted with 10 mL of water for injection. Reconstituted teprotumumab solution must be further diluted in 0.9% (w/v) sodium chloride (NaCl) solution prior to administration. Teprotumumab will be administered in 100 mL or 250 mL infusion bags (100 mL infusion bags for doses up to 1800 mg and 250 mL infusion bags for doses \> 1800 mg).,Teprotumumab 20 mg/kg,1,Teprotumumab,HZN-001,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT03298867,high,PASS_CURATED_RULE
NCT03298867-121,NCT03298867,OTHER,Placebo,Saline solution,"Placebo will consist of normal saline (0.9% NaCl) solution and will be administered in 100 mL or 250 mL infusion bags, as would be appropriate, per weight-based dosing volumes (100 mL infusion bags for doses up to 1800 mg and 250 mL infusion bags for doses \> 1800 mg).",Placebo,1,Placebo,Saline solution,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT03298867,high,PASS_CURATED_RULE
NCT03303053-185,NCT03303053,DRUG,Cholestyramine Powder 4g,Questran,"Cholestyramine powder 4g twice daily, Tablet Carbimazole 30 mg daily, Tablet propanolol 40 mg twice daily for 4 weeks",Group1:Cholestyramine+standard treatment,1,Cholestyramine,Cholestyramine Powder 4g | Questran,adjunct/supportive,adjunct/supportive,Bile acids/intestinal thyroid hormone recycling,Bile-acid sequestration,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT03303053,high,PASS_CURATED_RULE
NCT03303053-186,NCT03303053,DRUG,Prednisolone,NR (none reported),"Tablet prednisolone 30 mg daily for week 1, 20 mg daily for week 2, 10 mg daily for week 3 and 5 mg daily for week 4, Tablet carbimazole 30 mg daily, Tablet propanolol 40 mg twice daily for 4 weeks",Group2:Prednisolone+standard treatment,1,Prednisone/prednisolone,Prednisolone,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT03303053,high,PASS_CURATED_RULE
NCT03303053-187,NCT03303053,DRUG,Standard treatment,Carbimazole + Propanolol,Carbimazole 30 mg daily and propanolol 40 mg twice daily for 4 weeks,Group 3: Standard treatment alone,1,Carbimazole,Standard treatment | Carbimazole + Propanolol,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT03303053,high,PASS_CURATED_RULE
NCT03303053-187,NCT03303053,DRUG,Standard treatment,Carbimazole + Propanolol,Carbimazole 30 mg daily and propanolol 40 mg twice daily for 4 weeks,Group 3: Standard treatment alone,2,Beta-blocker,Standard treatment | Carbimazole + Propanolol,standard of care,standard of care,Beta-adrenergic receptors,Symptomatic adrenergic blockade,No,Managed in SoC table,ClinicalTrials.gov; NCT03303053,high,PASS_CURATED_RULE
NCT03461211-252,NCT03461211,BIOLOGICAL,Teprotumumab,HZN-001,Teprotumumab is a fully human anti-IGF-1R mAb. Teprotumumab will be provided in single-dose 20 mL glass vials as a freeze-dried powder. Each vial of teprotumumab must be reconstituted with 10 mL of water for injection. Reconstituted teprotumumab solution must be further diluted in 0.9% (w/v) sodium chloride (NaCl) solution prior to administration. Teprotumumab will be administered in 100 mL or 250 mL infusion bags (100 mL infusion bags for doses up to 1800 mg and 250 mL infusion bags for doses \> 1800 mg).,Teprotumumab,1,Teprotumumab,HZN-001,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT03461211,high,PASS_CURATED_RULE
NCT03708627-122,NCT03708627,DRUG,Bimatoprost Ophthalmic,NR (none reported),"Bimatoprost, aka Lumigan, one drop in one eye nightly",Bimatoprost in more proptotic eye,1,Bimatoprost,Bimatoprost Ophthalmic,adjunct/supportive,adjunct/supportive,Prostaglandin FP receptor,Ophthalmic symptom-directed therapy,No,Adjunct/symptom-directed intervention,ClinicalTrials.gov; NCT03708627,high,PASS_CURATED_RULE
NCT03891043-321,NCT03891043,DIETARY_SUPPLEMENT,Selenium,NR (none reported),A 100 micrograms of Selenium was given to be taken twice a day.,"Group B, Selenium group",1,Selenium/antioxidant supplement,Selenium,adjunct/supportive,adjunct/supportive,Redox pathways,Antioxidant supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT03891043,high,PASS_CURATED_RULE
NCT03891043-322,NCT03891043,OTHER,Placebo,NR (none reported),Placebo pill of 100 micrograms of starch was given to be taken twice a day.,"Group A, Placebo group",1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT03891043,high,PASS_CURATED_RULE
NCT03922321-210,NCT03922321,DRUG,RVT-1401,NR (none reported),RVT-1401 is a fully human anti-neonatal Fc receptor (FcRn) monoclonal antibody.,RVT-1401,1,Batoclimab,RVT-1401,active/intervention,pipeline/approved asset,FcRn,FcRn inhibition,Yes,NA (included),ClinicalTrials.gov; NCT03922321,high,PASS_CURATED_RULE
NCT03938545-282,NCT03938545,DRUG,RVT-1401 (Administered via subcutaneous injection),NR (none reported),RVT-1401 is a fully human anti-neonatal Fc receptor (FcRn) monoclonal antibody.,Regimen A-RVT-1401 | Regimen B-RVT-1401 | Regimen C-RVT-1401,1,Batoclimab,RVT-1401 (Administered via subcutaneous injection),active/intervention,pipeline/approved asset,FcRn,FcRn inhibition,Yes,NA (included),ClinicalTrials.gov; NCT03938545,high,PASS_CURATED_RULE
NCT03938545-283,NCT03938545,OTHER,Placebo (Administered via subcutaneous injection),NR (none reported),Placebo,Placebo,1,Placebo,Placebo (Administered via subcutaneous injection),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT03938545,high,PASS_CURATED_RULE
NCT03948191-315,NCT03948191,DRUG,Methylprednisolone,NR (none reported),500mg i.v. infusion once a week for 6 weeks followed by 250mg i.v. once a week for 6 weeks.,Methylprednisolone(ivMP),1,Methylprednisolone,NR (no additional alias),standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT03948191,high,PASS_CURATED_RULE
NCT03948191-316,NCT03948191,DRUG,99Tc-MDP(99Technetium-Methylenediphosphonate Injection),Yunke,"15mg i.v. infusion once a day for 10 days, 20 days apart, received 3 courses of infusions.",99Tc-MDP,1,Technetium-99 methylene diphosphonate (99Tc-MDP),99Tc-MDP(99Technetium-Methylenediphosphonate Injection) | Yunke,active/intervention,pipeline/approved asset,Not registry-specified,Immunomodulatory rationale; target not publicly verified here,Yes,NA (included; target retained as unknown),ClinicalTrials.gov; NCT03948191,high,PASS_CURATED_RULE
NCT04311606-071,NCT04311606,DRUG,Sub-tenon injection of saline followed by a sub-tenon injection of aflibercept,Group 1,"The study will randomly assign a total of eight subjects into this treatment arm to receive a sub-tenon injection of saline followed by injection of 4 mg aflibercept (total volume 1.1 ml) in the worse eye. Injections will be given three times: on day 1, day 14 and day 28. Subjects will be followed until day 90.",Saline and aflibercept,1,Saline/vehicle control,Sub-tenon injection of saline followed by a sub-tenon injection of aflibercept | Group 1,comparator/control,placebo/comparator,NA,Vehicle/sham control,No,Vehicle or sham comparator,ClinicalTrials.gov; NCT04311606,high,PASS_CURATED_RULE
NCT04311606-071,NCT04311606,DRUG,Sub-tenon injection of saline followed by a sub-tenon injection of aflibercept,Group 1,"The study will randomly assign a total of eight subjects into this treatment arm to receive a sub-tenon injection of saline followed by injection of 4 mg aflibercept (total volume 1.1 ml) in the worse eye. Injections will be given three times: on day 1, day 14 and day 28. Subjects will be followed until day 90.",Saline and aflibercept,2,Aflibercept,Sub-tenon injection of saline followed by a sub-tenon injection of aflibercept | Group 1,active/intervention,pipeline/approved asset,VEGF-A/PlGF,VEGF pathway inhibition,Yes,NA (included; local repurposing program),ClinicalTrials.gov; NCT04311606,high,PASS_CURATED_RULE
