anchor_id,source_id,block_id,locator,raw_quote,quote_start,quote_end,source_sha256,block_text_sha256,quote_sha256,jurisdiction,authority_scope,population,disease_stage,intervention,endpoint_claim_scope,evidence_role,uncertainty,data_cut,schema_version,notes
EU-EUGOGO2021-R5,135,S135-B00064,section:Introduction,"5 Glucocorticoid prophylaxis Oral prednisone/prednisolone prophylaxis should be given to radioactive iodine (RAI)-treated patients at risk of progression or de novo development of GO (smokers, severe/unstable hyperthyroidism, high serum TSHR-Ab). Regimen: high risk: 0.3–0.5 mg/kg/bodyweight as starting dose, tapered, and withdrawn after 3 months; low risk: 0.1–0.2 mg/kg/bodyweight, tapered, and withdrawn after 6 weeks. Patients with longstanding and stably inactive GO can receive RAI without prednisone/prednisolone cover if risk factors for GO progression, particularly smoking and high serum TSHR-Ab titers are absent. Uncontrolled post-RAI hypothyroidism should be avoided. 1, ØØØØ",0,689,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,a7d7c0a25de0c7137c6d1289b0c001f10d9ec2242398cf55545b509f4409d6c4,a7d7c0a25de0c7137c6d1289b0c001f10d9ec2242398cf55545b509f4409d6c4,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-R7,135,S135-B00066,section:Introduction,"7 Mild GO Mild GO should be treated with local treatments and general measures to control risk factors; a 6-month selenium supplementation should be given to patients with mild and active GO of recent onset, because it improves eye manifestations and QoL and usually prevents GO progression to more severe forms 1, ØØØO",0,319,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,900a30863f8c727ec459eb6f978322a2c8df6037e86fabb3a0f7ec257eca135e,900a30863f8c727ec459eb6f978322a2c8df6037e86fabb3a0f7ec257eca135e,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-SMPC-TEPEZZA-INDICATION-DOSE,730,S730-B00002,pdf_page:2,"4.1 Therapeutic indications 
 
TEPEZZA is indicated in adults for the treatment of moderate to severe thyroid eye disease (TED). 
 
4.2 Posology and method of administration 
 
Treatment with this medicinal product must be initiated and supervised by a physician experienced in 
the diagnosis and treatment of thyroid eye disease. It should be administered by a healthcare 
professional and under the supervision of a physician with access to appropriate medical support to 
manage infusion-related reactions. 
 
Posology 
 
Dosing is based on the patient’s actual body weight. The recommended dose is 10 mg/kg of body 
weight for the initial dose followed by 20 mg/kg of body weight for 7 additional doses given once 
every three weeks as an intravenous infusion.",1035,1799,6f85426dffbbf87b15db1785834dbe719313997a7407865602fa98f6ed7348e2,952a7cee4e7fb16dd9d05bf7fac793b78cc4a54361bef9f6cb93fc4b16459da9,b421f87ec363715a6feee990717914b4fa36b7294738112584f04fa010b878b4,EU/EEA,A1 regulator; European Medicines Agency,Adults,Moderate-to-severe TED,Teprotumumab (Tepezza),EU SmPC indication and dosing regimen,EU product information,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-SMPC-TEPEZZA-PEDIATRIC,730,S730-B00003,pdf_page:3,"Paediatric population 
Teprotumumab should not be used in children from birth to adolescence before growth is complete 
because of safety concerns related to potential decrease in bone mass and decrease in body weight 
gains (see section 5.3). 
 
The safety and efficacy of teprotumumab in adolescents whose growth is complete to less than 
18 years has not been established. No data are available.",1004,1402,6f85426dffbbf87b15db1785834dbe719313997a7407865602fa98f6ed7348e2,ee7975f336923e9e19b2b31f6086eead0043c4c9b23d2ed13042aa83b2edd3bf,b162db0bf49867c43620e8d636ebc97981d3cd193fe828c322c080f52a109400,EU/EEA,A1 regulator; European Medicines Agency,Children and adolescents younger than 18 years,TED,Teprotumumab (Tepezza),EU pediatric restriction and evidence limitation,EU product information,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-SMPC-TEPEZZA-PREGNANCY,730,S730-B00006,pdf_page:6,"Pregnancy 
 
There are no adequate data from the use of teprotumumab in pregnant women. 
 
Studies in animals have shown developmental toxicity (see section 5.3). 
 
Based on the mechanism of action inhibiting insulin like growth factor-1 receptor (IGF-1R) and the 
teratogenic effects observed in animal developmental studies, teprotumumab may cause congenital 
malformations such as foetal growth retardation and developmental anomalies when administered 
during pregnancy (see section 5.3). Therefore, TEPEZZA is contraindicated during pregnancy (see 
section 4.3).",601,1169,6f85426dffbbf87b15db1785834dbe719313997a7407865602fa98f6ed7348e2,161b21f3bf396c7129a6eec01b3fae5603d4237cc4aa6c4dd59736e1681c8c8b,238ea7a6750cb5a2ae1a886eb187b70fe2f0368780b275cc186f3ec55e816f31,EU/EEA,A1 regulator; European Medicines Agency,Pregnant patients,TED treatment and reproductive safety,Teprotumumab (Tepezza),EU pregnancy contraindication,EU product information,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP6.1.1,139,S139-B00372,section:6.1. Medical therapy for mild TED,"Key Point 6.1.1: A single course of selenium selenite 100 μg twice daily for 6 months may be considered for patients with mild active TED, particularly in regions of selenium insufficiency.",0,189,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,bd83c5f8677d1899da8996d5e637a38de571583bf1add75ad070c128fc98cc8f,bd83c5f8677d1899da8996d5e637a38de571583bf1add75ad070c128fc98cc8f,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP7.1.1.1,139,S139-B00485,section:Summary of evidence,Key Point 7.1.1.1: IVGC therapy is a preferred treatment for active moderate-to-severe TED when disease activity is the prominent feature in the absence of either significant proptosis (see Section 2.1. for definition) or diplopia.,0,231,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,2d36db0fdddf16a27fb92f91b48d9163a14760cb091611f06d0d163345d2983a,2d36db0fdddf16a27fb92f91b48d9163a14760cb091611f06d0d163345d2983a,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP7.1.1.2,139,S139-B00486,section:Summary of evidence,Key Point 7.1.1.2: Standard dosing with IVGC consists of IVMP at cumulative doses of 4.5 g over ∼3 months (0.5 g weekly × 6 weeks followed by 0.25 g weekly for an additional 6 weeks).,0,183,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,208c36c50c3faa468df5e7f93ec2c3a6c04081cf00fa6dc82e1e94de1be89dc4,208c36c50c3faa468df5e7f93ec2c3a6c04081cf00fa6dc82e1e94de1be89dc4,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP7.1.1.3,139,S139-B00487,section:Summary of evidence,Key Point 7.1.1.3: Poor response to IVMP at 6 weeks should prompt consideration for treatment withdrawal and evaluation of other therapies. Clinicians should be alert for worsening diplopia or onset of DON that have occurred even while on IVMP therapy.,0,252,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,79197988eb5752bac77e03a066597c9d1d83ef011c03c27cfe4a7e2ae15381cf,79197988eb5752bac77e03a066597c9d1d83ef011c03c27cfe4a7e2ae15381cf,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP7.1.2.1,139,S139-B00491,section:7.1.2. Therapies for patients with moderate-to-severe TED unresponsive or intolerant to IVGCs,Key Point 7.1.2.1: RTX and TCZ may be considered for TED inactivation in GC-resistant patients with active moderate-to-severe TED. TEP has not been evaluated in this setting.,0,174,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,65ef27fd608e54a3ebf7e0b4dbb215d9c9a0520f3bd0c5c557ddecda95d3947a,65ef27fd608e54a3ebf7e0b4dbb215d9c9a0520f3bd0c5c557ddecda95d3947a,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP7.1.3.1,139,S139-B00515,section:Summary of evidence,"Key Point 7.1.3.1: TEP is a preferred therapy, if available, in patients with active moderate-to-severe TED with significant proptosis (see Section 2.1. for definition) and/or diplopia.",0,185,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,15c6ec9f9cac60345f3abc64a5de120cab8bb52b497ae6e8314ab88ca6b11dd8,15c6ec9f9cac60345f3abc64a5de120cab8bb52b497ae6e8314ab88ca6b11dd8,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP7.2.1,139,S139-B00578,section:7.2. Radiotherapy for moderate-to-severe TED,Key Point 7.2.1: RT is a preferred treatment in patients with active moderate-to-severe TED whose principal feature is progressive diplopia.,0,140,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,fe4013a5cee07a719092665f19f9ef949069eecb9ddcbf5fac4caceb58796a35,fe4013a5cee07a719092665f19f9ef949069eecb9ddcbf5fac4caceb58796a35,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP7.3.1.2,139,S139-B00583,section:7.3.1. Surgical intervention overview,Key Point 7.3.1.2 : Rehabilitative surgery for moderate-to-severe TED should only be performed when the disease is inactive and euthyroidism has been achieved and maintained.,0,174,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,6775f67623d8ecf8d184a41fcf8f880cc4951b19e6f5cf34aaccb2daa320b456,6775f67623d8ecf8d184a41fcf8f880cc4951b19e6f5cf34aaccb2daa320b456,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP7.3.4.1,139,S139-B00598,section:7.3.4. Eyelid procedures,"Key Point 7.3.4.1 : Eyelid retraction and fat prolapse are surgically corrected when TED is inactive and euthyroidism is achieved, and after decompression and strabismus surgery as indicated.",0,191,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,24a3783101fb459160b08ef02c71e44554a7c554212489e4c836f0a33e2973b2,24a3783101fb459160b08ef02c71e44554a7c554212489e4c836f0a33e2973b2,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP8.1.1,139,S139-B00605,section:8.1. Intravenous glucocorticoids,"Key Point 8.1.1: Patients with DON require urgent treatment with IVGC therapy, with close monitoring of response and early (after 2 weeks) consideration for decompression surgery if baseline visual function is not restored and maintained with medical therapy.",0,259,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,c81a610a31d597bfbbfebc8e7230cbab7cec3e6693d47053a4b5869ef302f9be,c81a610a31d597bfbbfebc8e7230cbab7cec3e6693d47053a4b5869ef302f9be,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
INT-ATA-ETA2022-KP8.3.1,139,S139-B00176,section:1.4. Therapy of sight-threatening TED,"Key Point 8.3.1: In patients with compressive DON, orbital decompression of the deep medial wall and orbital floor should be considered to restore vision by reducing apical compression on the optic nerve.",0,204,01ee0aecf4fdf1956fbdc05d1bae52811d463febb107be134bf9408ea42d70da,61eea785ba0334319ac637cba348cea5d3b2a8f6620dfc6a87d4850ae90b528b,61eea785ba0334319ac637cba348cea5d3b2a8f6620dfc6a87d4850ae90b528b,United States; EU/EEA; international context,A2 society consensus statement; American Thyroid Association and European Thyroid Association,Patients with TED in the source-defined phenotype/activity stratum,TED; source-defined phenotype/activity/severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Joint society consensus key point,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ1,741,S741-B00002,pdf_page:2,"BCQ1 薬物療法 の適応 は？ 
●薬物療法 は未治療 の患者 では 原則 としてすべての 患者 が適応 となる． 
",232,292,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,31f413c3223ae1635aca193556a20d58574146dc5569d27989eb60f04181a628,aae98d0b3b279bcf08c29d21d8cdc8e3969cbf0c74bb09fceca834759f7f9a8e,Japan,A2 national society guideline; Japan Thyroid Association,Previously untreated patients with Graves’ disease,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Eligibility for drug therapy,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ2,741,S741-B00002,pdf_page:2,"BCQ2 抗甲状腺薬治療 の第一選択 は何か？ 
●抗甲状腺薬 の第一選択 は， 妊娠初 期（器官形成期 の妊娠 4 週 0 日 から 15 週 6 日 ）を除き， M M I 
とする． 
",292,388,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,31f413c3223ae1635aca193556a20d58574146dc5569d27989eb60f04181a628,26222657791d0d58c06193cf4c35fb07f17ea237b23f7927cf533395aeca2dc5,Japan,A2 national society guideline; Japan Thyroid Association,"Patients starting ATD, with a pregnancy exception",Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",First-choice ATD and broader pregnancy-period exception,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,Do not merge the FCQ1 exact 5w0d–9w6d MMI-avoidance interval with the broader BCQ2 first-choice exception.
JP-JTA2019-BCQ26,741,S741-B00005,pdf_page:5,"BCQ26 131 I 内用療法 の適応 と禁忌，注意 は？ 
●131 I内用療法 の適応 は， 患者 の年齢，妊娠 の可能性，甲状腺 の大きさ， 合併症 などを 考慮 した 
うえで， 患者 と相談 して 決める． 
●妊婦 や妊娠 している 可能性 が高い女性，断乳 できない 授乳婦，甲状腺癌 を合併 してい る（もし 
くは 疑われる ）場合 は禁忌 である． 
●必ずしも 甲状腺機能亢進症 が早期 に是正 されるとは 限らないこと， 永続性 の甲状腺機能低下 
症に陥り終生 にわたる 甲状腺 ホルモン 薬の服用 が必要 になるかもしれないこと， 治療後 に甲
状腺眼症 が悪化 するおそれがあることについて 考慮 と説明 が必要 である． 
",611,940,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,93e7f65c5e5de1d4351efe570b79a1171ce116425789294e0897d4b8e3bb2693,d82e138fd4824ca80ff607326a91f9a9b584787332deb90fec8d0067d492c046,Japan,A2 national society guideline; Japan Thyroid Association,Patients considering RAI,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ","RAI indications, contraindications, and counseling",Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ28,741,S741-B00005,pdf_page:5,"BCQ28 131 I 内用療法 の前処置 はどのようにするか？ 
●治療 1 週間以上前 からの ヨウ 素制限，治療 3 日以上前 からの 抗甲状腺薬中止 が望ましいが， 
まずは 甲状腺機能 のコントロール を十分 に行い， 甲状腺機能 のコントロール に見合 った 抗甲 
状腺薬 の中止期間 を決めていくことが 重要 である． 
",1076,1245,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,93e7f65c5e5de1d4351efe570b79a1171ce116425789294e0897d4b8e3bb2693,82d753dd680f61181bbe98aea515382e28200704aae301e0bbe271e2dd14a774,Japan,A2 national society guideline; Japan Thyroid Association,Patients preparing for RAI,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Iodine and ATD preparation for RAI,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ30,741,S741-B00006,pdf_page:6,"BCQ30 131 I 内用療法後 の経過観察 はどのように 行うか？ 
●131 I内用療法後 の 6 ヵ月間 は甲状腺機能 の悪化 や変動 に注意 し，1 ヵ月ごとに 甲状腺機能検査 を
行うことが 望ましい ．その 後は甲状腺機能低下症 に注意 しながら 経過 をみていく 必要 がある． 
",0,149,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,2fb690322b5972c962ba85e22f7f24e190632350e47edb9c75c18212040a7744,36906a7cc1ad38cf56078908ffeff5d116c8894393ffe9b628b9e49f7e19fd9a,Japan,A2 national society guideline; Japan Thyroid Association,Patients after RAI,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Post-RAI monitoring,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ32,741,S741-B00006,pdf_page:6,"BCQ32 131 I 内用療法後，挙児計画 はいつから 許可 するか？（ 女性 の場合） 
●131 I内用療法後 6 ヵ月過 ぎてから 挙児計画 を許可 するのが 合理的 である． 
",380,474,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,2fb690322b5972c962ba85e22f7f24e190632350e47edb9c75c18212040a7744,cbdee2806f42d6f4c3c024bbeb59fd997de337cb40c8ca449282922c08e869fa,Japan,A2 national society guideline; Japan Thyroid Association,Women after RAI planning pregnancy,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Post-RAI conception timing for women,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ33,741,S741-B00006,pdf_page:6,"BCQ33 甲状腺眼症 を有する 場合 の 131 I 内用療法 の注意点 は？ 
●131 I内用療法 によって 眼症 の新規発症 や悪化 が認められる． 
●活動性 や重症度 の高い眼症患者 では 避ける． 
●喫煙 や 131 I内用療法後 の甲状腺機能低下症 がリスク となるため， 禁煙 を指導 し甲状腺 ホルモン 
薬補充 などにより 甲状腺機能低下症 を可能 な限り避ける． 
●軽症 の活動性眼症患者 でやむを 得ず 131 I内用療法 を行う場合 は， グルココルチコイド の予防的 
投与 を行う． 
",474,735,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,2fb690322b5972c962ba85e22f7f24e190632350e47edb9c75c18212040a7744,8cb14454bf2b4b4022e2d8daba9661d43e328e49fae5c85770129b0f2ce17b0c,Japan,A2 national society guideline; Japan Thyroid Association,Patients with TED considering RAI,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",TED risk mitigation with RAI,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ34,741,S741-B00006,pdf_page:6,"BCQ34 外科治療 として 甲状腺全摘術 は推奨 されるか？ 
●手術適応 と考えられる バセドウ 病に対して 甲状腺全摘術 が推奨 される． 
",735,809,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,2fb690322b5972c962ba85e22f7f24e190632350e47edb9c75c18212040a7744,1ee14234080332851ae1d8cf31ef6765c2ce5b32cb3ab5edfbb66496dd1e79f2,Japan,A2 national society guideline; Japan Thyroid Association,Patients with a surgical indication,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Total thyroidectomy,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ35,741,S741-B00006,pdf_page:6,"BCQ35 術前 の準備 は？ 
●甲状腺 クリーゼ の発生予防 に， 可能 な限り術前 に甲状腺機能 を正常 にコントロール する． 
●手術 7〜10 日前 から 無機 ヨウ 素薬 を投与 すると， 甲状腺腫 の血流 が減少 し術中 の出血量 の減
少が期待 できる． 
●巨大甲状腺腫 などで 出血 のリスク の高い症例 では， 術前 の自己貯血 を検討 する． 
",809,995,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,2fb690322b5972c962ba85e22f7f24e190632350e47edb9c75c18212040a7744,f2d96ec715226f8b4feeffee412ee6f3e5c7200bf6602d097ff667796b54786e,Japan,A2 national society guideline; Japan Thyroid Association,Patients preparing for thyroidectomy,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Preoperative biochemical control and inorganic iodine,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ36,741,S741-B00006,pdf_page:6,"BCQ36 妊娠 を避けるべき 状態 とは？ 
●甲状腺 ホルモン 過剰状態 および 甲状腺 ホルモン 欠乏状態 では 妊娠 を避けることが 望ましい． 
●131 I内用療法後 6 ヵ月間 は妊娠 を避けるべきである． 
",995,1107,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,2fb690322b5972c962ba85e22f7f24e190632350e47edb9c75c18212040a7744,3c60e7f7ec1dbb4d135ef8a1c08c2579b910d18fb9e61363cc6d275467749577,Japan,A2 national society guideline; Japan Thyroid Association,Patients considering pregnancy,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Thyroid-state and post-RAI pregnancy avoidance,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ6,741,S741-B00002,pdf_page:2,"BCQ6 抗甲状腺薬中止 の目安 は？ 
●抗甲状腺薬 1 錠隔日投与 で，6 ヵ月以上甲状腺機能 が正常 な場合 には ，休薬 を検討 してもよい． 
",854,931,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,31f413c3223ae1635aca193556a20d58574146dc5569d27989eb60f04181a628,d84da9cbdb15accec5724eabee1ef3087ffb42b8fde31f9fcf28d1c3c66509ef,Japan,A2 national society guideline; Japan Thyroid Association,Patients considering stopping ATD,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Criterion for considering ATD withdrawal,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
JP-JTA2019-BCQ7,741,S741-B00002,pdf_page:2,"BCQ7 抗甲状腺薬中止後 の経過観察 の方法 は？ 
●抗甲状腺薬中止後 はじめの 6 ヵ月間 は甲状腺機能 を 2〜3 ヵ月おきに 検査 し，その 後は徐々 に
間隔 を延ばし，1 年以降 は 6〜12 ヵ月おきに 検査 する． 
",931,1049,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,31f413c3223ae1635aca193556a20d58574146dc5569d27989eb60f04181a628,e33f81591b6511a1c334059fdb58788f3134507b2ca388bb2f7e08f42f2e54ee,Japan,A2 national society guideline; Japan Thyroid Association,Patients after stopping ATD,Graves’ disease; source-defined clinical question,"ATD, RAI, surgery, or monitoring as defined in the CQ",Post-ATD biochemical monitoring,Primary national society guideline CQ,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
