trial_id,registry,registry_url,asset,asset_aliases,sponsor,owner_at_cutoff,indication,mechanism_class,phase,overall_status,start_date,primary_completion_date,regions,population,ted_activity_severity,n_enrolled,n_randomized,n_analyzed,design,blinding,arms,dose_route_schedule_duration,background_soc_combination,comparator,primary_endpoints,secondary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,publication_urls,evidence_tier,source_ids,access_depth,last_verified,notes
NCT03938545,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03938545,RVT-1401 (Administered via subcutaneous injection),,Immunovant Sciences GmbH,Immunovant Sciences GmbH,Active moderate-to-severe TED,FcRn inhibition,PHASE2,TERMINATED,2019-07-23,2021-02-02,Canada; Germany; Italy; Spain; United States,Adults primary,active_moderate_severe,65,,,RANDOMIZED PARALLEL,DOUBLE,Regimen A-RVT-1401; Regimen B-RVT-1401; Regimen C-RVT-1401; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of Participants With Proptosis Response at Week 13; Number of Participants With Treatment-emergent Adverse Events (TEAEs) and Treatment-emergent Serious Adverse Events (SAEs),"Least Square Mean Percent Change From Baseline in Binding Anti-thyroid-stimulating Hormone Receptor (TSHR) Antibody Levels to Week 13; Least Square Mean Percent Change From Baseline in Total IgG Levels; Least Square Mean Percent Change From Baseline in IgG Subclasses 1, 2, 3 and 4",Posted result timepoint,"PRR: 680 mg 30.0% (p=0.1993), 340 mg 30.8% (p=0.1016), 255 mg 0% (p=0.2963), placebo 8.3%.",Registry event-level safety 참조.,없음.,,Registry result + manual curation,ClinicalTrials.gov; NCT03938545,official_registry_full_record,2026-09-10,Sponsor decision based on premature unblinding of treatment allocations necessitated by program-wide review; disease-directed drug/biologic/supplement trial; Program review로 premature unblinding; demonstrated mechanistic failure로 단정하지 않음.
NCT03948191,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03948191,Methylprednisolone; 99Tc-MDP(99Technetium-Methylenediphosphonate Injection),,Dalian University,Dalian University,Active moderate-to-severe TED,Glucocorticoid,PHASE4,COMPLETED,2017-10-16,2018-12-30,China,Adults primary,active_moderate_severe,50,,,RANDOMIZED PARALLEL,TRIPLE,Methylprednisolone(ivMP); 99Tc-MDP,See official registry record,Registry-defined; verify per protocol,See arms,Responder Status at Week 12,Overall Average Continuous Change in CAS From Baseline to Week 24; Overall Average Continuous Change in Proptosis From Baseline to Week 24; Overall Average Change in Diplopia grading From Baseline to Week 24; Overall Average Change in extra-ocular muscular thickening From Baseline in thickening extra-ocular muscular improvement in Orbital CT to Week 24; Overall Average Change in Graves' Ophthalmopathy Quality of Life (GO-QOL) Scale From baseline to Week 24 follow-up,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT03948191,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial
NCT04598815,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04598815,Sirolimus,,University of Pisa,University of Pisa,Active moderate-to-severe TED,mTOR inhibition,PHASE2,UNKNOWN,2023-06-01,2024-05-31,Italy,Adults primary,active_moderate_severe,54,,,RANDOMIZED PARALLEL,QUADRUPLE,Sirolimus; Methylprendnisolone,See official registry record,Registry-defined; verify per protocol,See arms,GO overall response,GO overall response; GO overall response; GO overall response; GO relapse; GO relapse,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT04598815,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT04737330,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04737330,Secukinumab,,Novartis Pharmaceuticals,Novartis Pharmaceuticals,Active moderate-to-severe TED,IL-17A inhibition,PHASE3,TERMINATED,2021-11-29,2023-05-16,Germany,Adults primary,active_moderate_severe,28,,,RANDOMIZED PARALLEL,DOUBLE,Secukinumab 300 mg; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Plan A - Percentage of Participants Achieving Overall Response; Plan B - Percentage of Participants Achieving Response in Reduction of Proptosis,Plan A - Percentage of Participants Achieving Response in Reduction of Clinical Activity Score (CAS); Plan A - Percentage of Participants Achieving Response in Reduction of Proptosis; Plan A - Percentage of Participants Achieving Response in Diplopia; Plan A - Mean Change From Baseline to Week 16 in Clinical Activity Score (CAS) in the Study Eye; Plan A - Mean Change From Baseline to Week 16 in Millimeters (mm) of Proptosis in the Study Eye,Posted result timepoint,Overall response 0/14 vs 0/14; CAS response 0/14 vs 3/14; PRR 0/14 vs 0/14.,Safety concern 없이 futility termination.,없음.,,Registry result + manual curation,ClinicalTrials.gov; NCT04737330,official_registry_full_record,2026-09-10,Analysis of blinded patient data showed a very low probability of the study meeting the primary efficacy endpoints. No safety concerns were identified; disease-directed drug/biologic/supplement trial; Clear negative/futility trial.
NCT04776993,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04776993,Methimazole,,University of Pisa,University of Pisa,Active moderate-to-severe TED,Antithyroid drug,PHASE3,UNKNOWN,2023-03-02,2024-09-01,Italy,Adults primary,active_moderate_severe,52,,,RANDOMIZED PARALLEL,NONE,Methimazole; Thyroid ablation,See official registry record,Registry-defined; verify per protocol,See arms,Overall GO outcome,"Overall GO outcome; Overall GO outcome; Response of individual GO parameters: proptosis, CAS, eyelid width, diplopia, and visual acuity; Quality of life questionnaire",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT04776993,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial
NCT04936854,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04936854,Sirolimus 1 mg Oral Tablet; Methylprednisolone,,Haukeland University Hospital,Haukeland University Hospital,Active moderate-to-severe TED,mTOR inhibition,PHASE2,RECRUITING,2023-01-01,2028-01,Norway,Adults primary,active_moderate_severe,60,,,RANDOMIZED PARALLEL,SINGLE,Sirolimus; Corticosteroids,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of participants who were CAS categorical responders at week 12,Percentage of participants who were proptosis responders at week 12; Percentage of participants who were eyelid retraction responders at week 12; Percentage of participants who were diplopia responders at week 12,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,"Roos JCP, Murthy R. Sirolimus (rapamycin) for the targeted treatment of the fibrotic sequelae of Graves' orbitopathy. Eye (Lond). 2019 Apr;33(4):679-682. doi: 10.1038/s41433-019-0340-3. Epub 2019 Feb 12.; Chang S, Perry JD, Kosmorsky GS, Braun WE. Rapamycin for treatment of refractory dysthyroid compressive optic neuropathy. Ophthalmic Plast Reconstr Surg. 2007 May-Jun;23(3):225-6. doi: 10.1097/IOP.0b013e3180500d57.; Roos JCP, Eglitis V, Murthy R. Inhibition of Fibrotic Contraction by Sirolimus (Rapamycin) in an Ex Vivo Model of Thyroid Eye Disease. Ophthalmic Plast Reconstr Surg. 2021 Jul-Aug 01;37(4):366-371. doi: 10.1097/IOP.0000000000001876.",Official registry protocol,ClinicalTrials.gov; NCT04936854,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial
NCT05015127,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05015127,HBM9161 680 mg qw by q2w from week 13; HBM9161 680 mg qw by q2w from week 7,,Harbour BioMed (Guangzhou) Co. Ltd.,Harbour BioMed (Guangzhou) Co. Ltd.,Active moderate-to-severe TED,Other / mechanism not registry-specified,PHASE2; PHASE3,UNKNOWN,2021-09-22,2022-10,China,Adults primary,active_moderate_severe,36,,,RANDOMIZED PARALLEL,QUADRUPLE,HBM9161 680 mg qw by q2w from week 13; HBM9161 680 mg qw by q2w from week 7; Placebo; Placebo qw by HBM9161 680mg qw from week 12,See official registry record,Registry-defined; verify per protocol,See arms,Proptosis responder rates of the treatment groups and placebo group at Week 12,The percentage of subjects with a CAS value of 0 or 1 in the study eye; The change from Baseline in proptosis measurement in the study eye; Composite responder rate; Diplopia response rate; The change from baseline in the Graves' Ophthalmopathy Quality of Life (GO-QoL) Questionnaire visual function score and psychosocial function score,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05015127,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT05049603,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05049603,Atorvastatin 20mg,,University of Pisa,University of Pisa,Active moderate-to-severe TED,Statin / pleiotropic anti-inflammatory,PHASE3,NOT_YET_RECRUITING,2024-01-01,2025-12-31,Italy,Adults primary,active_moderate_severe,102,,,RANDOMIZED PARALLEL,QUADRUPLE,Atorvastatin; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Outcome of GO,Outcome of GO; Outcome of GO; Quality of life (comparison between the two groups); Quality of life (comparison between the two groups); Quality of life (comparison between the two groups),Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05049603,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT05176639,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05176639,Veligrotug,,"Viridian Therapeutics, Inc.","Viridian Therapeutics, Inc.",Active moderate-to-severe TED,IGF-1R inhibition,PHASE3,COMPLETED,2022-11-16,2024-07-15,Australia; France; Germany; Poland; Spain; United Kingdom; United States,Adults primary,active_moderate_severe,113,,,RANDOMIZED PARALLEL,TRIPLE,Veligrotug; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Proptosis Responder Rate (PRR) in the Study Eye As Measured by Exophthalmometer,Change From Baseline in Proptosis in the Study Eye As Measured by Exophthalmometer; PRR in the Most Proptotic Eye As Measured by Magnetic Resonance Imaging (MRI)/Computed Tomography (CT); Change From Baseline in Proptosis in the Most Proptotic Eye As Measured by MRI/CT; Change From Baseline in CAS in the Study Eye; Overall Responder Rate (ORR) Comprising of PRR and Clinical Activity Responder Rate in the Study Eye,Posted result timepoint,"PRR 70.0% vs 5.26%, p<0.0001; proptosis LS change −2.90 vs −0.48 mm; overall response 66.83% vs 5.26%; diplopia response 59.07% vs 19.89%.",SAE 7/75 vs 0/38; muscle spasms 34/75 vs 3/38; infusion reaction 13/75 vs 2/38; hearing-related symptoms present.,Week 52에서 initial responders의 70%가 PRR 유지; evaluable follow-up subset 21/30.,,Registry result + manual curation,[230]; [713]; ClinicalTrials.gov; NCT05176639,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial; Five infusions; durability denominator와 responder conditioning을 명시.
NCT05199103,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05199103,rabbit anti-thymocyte globulin,,Medical University of Silesia,Medical University of Silesia,Active moderate-to-severe TED,Glucocorticoid,NA,UNKNOWN,2020-01-01,2023-12-31,Poland,Adults primary,active_moderate_severe,20,,,NA SINGLE_GROUP,NONE,Rabbit antithymocyte globulin (rATG),See official registry record,Registry-defined; verify per protocol,See arms,≥2 point change in Clinical Activity Score from baseline; change in proptosis; a diplopia response; change of distant best-corrected visual acuity; change of mean retinal sensitivity,changes in CD4/CD8 ratio; changes in TSH-receptor antibodies level; increase in 1 degree amplitude in Pattern visual evoked potential (VEP) by 1 µV,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,"Sarnat-Kucharczyk M, Swierkot M, Handzlik G, Kulawik G, Jagoda K, Grochola-Malecka I, Fryzewska J, Mrukwa-Kominek E, Chudek J. Antithymocyte Globulin as Second-Line Therapy in Graves Orbitopathy-Preliminary Results From a Prospective Single-Center Study. Front Endocrinol (Lausanne). 2022 May 9;13:871009. doi: 10.3389/fendo.2022.871009. eCollection 2022.",Official registry protocol,ClinicalTrials.gov; NCT05199103,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT05276063,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05276063,Linsitinib,,"Sling Therapeutics, Inc.","Sling Therapeutics, Inc.",Active moderate-to-severe TED,IGF-1R inhibition,PHASE2; PHASE3,COMPLETED,2022-07-01,2024-10-15,Canada; Italy; Spain; United Kingdom; United States,Adults primary,active_moderate_severe,90,,,RANDOMIZED PARALLEL,DOUBLE,Placebo; Low Dose; High Dose,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of Subjects Who Are Proptosis Responders at Week 24,Percentage of Subjects Who Are Overall Responders at Week 24; Percentage of Subjects With a CAS Value of 0 or 1 at Week 24; Change From Baseline in the Graves' Ophthalmopathy Quality of Life (GO-QoL) Questionnaire Overall Score to Week 24.,Posted result timepoint,"PRR 150 mg BID 51.7% vs 18.8%, p=0.01, RD 0.345 (95% CI 0.098–0.593); 75 mg 38.9%, p=0.090; GO-QOL difference +10.776, p=0.002.","SAE 2/29 high, 0/30 low, 1/31 placebo; high-dose GI/fatigue/transaminase signals.",Week 24 beyond durability 공개 제한.,,Registry result + manual curation,[714]; [715]; ClinicalTrials.gov; NCT05276063,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial; One-sided alpha 2.5%; mixed Graves/Hashimoto etiology but all had TED.
NCT05331300,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05331300,LASN01; LASN01,,Lassen Therapeutics 1 PTY LTD,Lassen Therapeutics 1 PTY LTD,Active moderate-to-severe TED,IL-11R blockade,PHASE1; PHASE2,COMPLETED,2022-06-06,2024-11-27,Australia; Hong Kong,Adults primary,active_moderate_severe,75,,,RANDOMIZED SEQUENTIAL,DOUBLE,LASN01 - Parts A and B [Healthy Volunteers]; Placebo - Parts A and B [Healthy Volunteers]; LASN01 - Part C [Pulmonary Fibrosis]; Placebo - Part C [Pulmonary Fibrosis]; LASN01 - Part D [Thyroid Eye Disease]; Placebo - Part D [Thyroid Eye Disease],See official registry record,Registry-defined; verify per protocol,See arms,"Treatment emergent, treatment related, and serious adverse events; Changes in concomitant medications; Changes from Baseline in clinical laboratory evaluations following study drug administration; Changes from Baseline in vital signs following study drug administration; Changes from Baseline in 12-lead electrocardiogram (ECG) parameters following study drug administration",PK parameter assessed by serum LASN01 concentration at specified timepoints for maximum plasma concentration (Cmax); PK parameter assessed by serum LASN01 concentration at specified timepoints for time to peak concentration (T max); PK parameter assessed by serum LASN01 concentration at specified timepoints for area under curve (AUC); PK parameter assessed by serum LASN01 concentration at specified timepoints for clearance volume (CL); PK parameter assessed by serum LASN01 concentration at specified timepoints for terminal phase volume (Vz),Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05331300,official_registry_full_record,2026-09-10,named investigational disease-directed asset; comparator treatment does not determine asset class
NCT05394857,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05394857,SHR-1314,,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.","Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Active moderate-to-severe TED,IL-6 / IL-6R blockade,PHASE2,TERMINATED,2022-09-13,2023-08-22,China,Adults primary,active_moderate_severe,7,,,NA SINGLE_GROUP,NONE,Treatment group,See official registry record,Registry-defined; verify per protocol,See arms,the proptosis responder rate,Proportion of patients achieving response in reduction of clinical activity score(CAS); Overall responder rate; The percentage of subjects with a CAS value of 0 or 1 in the study eye; The mean change from Baseline to Week 16 in proptosis measurement in the study eye; Diplopia response rate at Week16,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05394857,official_registry_full_record,2026-09-10,Sponsor commercial considerations; disease-directed drug/biologic/supplement trial
NCT05429450,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05429450,Methotrexate; Triamcinolone Acetonide,,Cairo University,Cairo University,Active moderate-to-severe TED,Calcineurin / conventional immunosuppression,PHASE2,COMPLETED,2020-07-01,2022-07-01,Egypt,Adults primary,active_moderate_severe,18,,,RANDOMIZED PARALLEL,DOUBLE,Methotrexate; Triamcinolone acetonide,See official registry record,Registry-defined; verify per protocol,See arms,Change in clinical activity score (CAS),Change in proptosis; Change in lid aperture; Percentage of overall responders,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05429450,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT05517421,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05517421,Batoclimab,,Immunovant Sciences GmbH,Immunovant Sciences GmbH,Active moderate-to-severe TED,FcRn inhibition,PHASE3,COMPLETED,2022-11-23,2025-11-02,Canada; Georgia; Germany; Israel; Italy; Japan; Poland; United Kingdom; United States,Adults primary,active_moderate_severe,114,,,RANDOMIZED PARALLEL,TRIPLE,Batoclimab; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of proptosis responders,Percentage of participants with proptosis ≥2 mm reduction and Clinical Activity Score (CAS) of less than or equal to (≤) 3 from Baseline in the study eye; Percentage of participants with CAS of 0 or 1 in the study eye; Mean change from Baseline in CAS in the study eye; Percentage of participants with positive binding anti-thyroid stimulating hormone receptor (TSHR) antibody (Ab) at Baseline who achieve seroconversion; Percentage of participants with decrease of at least 1 grade from Baseline in Gorman score for diplopia,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05517421,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT05524571,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05524571,Batoclimab,,Immunovant Sciences GmbH,Immunovant Sciences GmbH,Active moderate-to-severe TED,FcRn inhibition,PHASE3,COMPLETED,2023-01-05,2026-02-03,Australia; Belgium; Germany; Hungary; Latvia; New Zealand; Puerto Rico; Slovakia; Spain; Turkey (Türkiye); United States,Adults primary,active_moderate_severe,86,,,RANDOMIZED PARALLEL,TRIPLE,Batoclimab; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of proptosis responders,Percentage of participants with proptosis ≥2 mm reduction and Clinical Activity Score (CAS) of less than or equal to (≤) 3 from Baseline in the study eye; Percentage of participants with CAS of 0 or 1 in the study eye; Mean change from Baseline in CAS in the study eye; Percentage of participants with positive binding anti-thyroid stimulating hormone receptor (TSHR) antibody (Ab) at Baseline who achieve seroconversion; Percentage of participants with decrease of at least 1 grade from Baseline in Gorman score for diplopia,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05524571,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT05532072,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05532072,Rapamycin; Methylprednisolone,,First Affiliated Hospital Xi'an Jiaotong University,First Affiliated Hospital Xi'an Jiaotong University,Active moderate-to-severe TED,mTOR inhibition,EARLY_PHASE1,UNKNOWN,2022-09,2023-09,China,Adults primary,active_moderate_severe,140,,,RANDOMIZED PARALLEL,TRIPLE,The group of Meprednone combined with Rapamycin; The group of Meprednone alone,See official registry record,Registry-defined; verify per protocol,See arms,"Number of participants who responded to treatment as assessed by CAS score, eye cleft width, eye movement, etc.; Number of participants with treatment-related adverse events assessed by physical examination, electrocardiogram, and serum biochemical markers.","Number of participants who responded to treatment as assessed by CAS score, eye cleft width, eye movement, etc.; Number of participants with disease recurrence as assessed by CAS score, eye movement, visual acuity, diplopia, etc.; Antibody titers; Antibody titers; GO-QoL Score",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05532072,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial
NCT05776121,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05776121,ZB001 for injection; ZB001 for injection,,"Zenas BioPharma (USA), LLC","Zenas BioPharma (USA), LLC",Active moderate-to-severe TED,IGF-1R inhibition,PHASE1,COMPLETED,2023-05-10,2024-04-17,China,Adults primary,active_moderate_severe,17,,,NA SEQUENTIAL,NONE,ZB001 for injection,See official registry record,Registry-defined; verify per protocol,See arms,"Number of participants with Adverse Events, Serious Adverse Events, and Laboratory Evaluations as assessed by CTCAE v5.0; The exophthalmos response rates of study eye at Week 6 and Week 12 (defined as the proportion of patients whose exophthalmos measured by Hertel exophthalmos meter decreased ≥ 2mm from baseline)","Change from baseline in the study eye at Week 6, Week 12 and Week 24 of Exophthalmos measured by MRI/CT scan; Change from baseline in the study eye at Week 6, Week 12 and Week 24 of Orbital fat volume measured by MRI/CT scan; Change from baseline in the study eye at Week 6, Week 12 and Week 24 of Extraocular eye muscle volume measured by MRI/CT scan; Change from baseline in the study eye at Week 6, Week 12 and Week 24 of Facial fat volume measured by MRI/CT scan; Change from baseline in the study eye at Week 6, Week 12 and Week 24 of Digital and manual measurement of palpebral fissure height",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT05776121,official_registry_full_record,2026-09-10,named investigational disease-directed asset; comparator treatment does not determine asset class
NCT06088979,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06088979,TOUR006 - 20 MG; TOUR006 - 50 MG,,"Tourmaline Bio, Inc., a Novartis Company","Tourmaline Bio, Inc., a Novartis Company",Active moderate-to-severe TED,IL-6 / IL-6R blockade,PHASE2,ACTIVE_NOT_RECRUITING,2024-02-19,2026-09,Brazil; France; Italy; Jordan; Latvia; New Zealand; Puerto Rico; Slovakia; South Korea; Spain; United States,Adults primary,active_moderate_severe,79,,,RANDOMIZED PARALLEL,QUADRUPLE,TOUR006 - 20 MG; TOUR006 - 50 MG; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of participants achieving a proptosis response defined as a ≥2 mm reduction in proptosis from baseline in the study eye without deterioration [≥2 mm increase] of proptosis in the fellow eye and without need for rescue therapy/intervention).,Percentage of participants achieving a proptosis response with 20mg TOUR006 administered SC every 8 weeks or 50mg TOUR006 administered SC every 8 weeks.; Percentage of participants attaining a complete or near complete response on the 7-point Clinical Activity Score (CAS).; Percentage of participants attaining ≥1 grade decrease in diplopia.; Incidence of Treatment Emergent Adverse Events by severity and Serious Adverse Events through Week 72.; Mean change from baseline in serum trough concentration of TOUR006.,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT06088979,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT06112340,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06112340,linsitinib,,"Sling Therapeutics, Inc.","Sling Therapeutics, Inc.",Active moderate-to-severe TED,IGF-1R inhibition,PHASE2; PHASE3,RECRUITING,2023-10-11,2026-06,United States,Adults primary,active_moderate_severe,75,,,RANDOMIZED PARALLEL,DOUBLE,Low Dose; High Dose,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of Subjects who are Proptosis Responders at Week 24,Change from Baseline in Proptosis to Week 24 (Study Eye); Percentage of Subjects who are Overall Responders at Week 24; Percentage of Subjects who are CAS Categorical Responders at Week 24 (Study Eye); Change from Baseline in the Graves' Ophthalmopathy Quality of Life (GO-QoL) Questionnaire Overall Score to Week 24,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT06112340,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT06226545,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06226545,LASN01; LASN01; LASN01,,Lassen Therapeutics Inc.,Lassen Therapeutics Inc.,Active moderate-to-severe TED,IL-11R blockade,PHASE2,COMPLETED,2024-03-05,2025-04-22,Spain; United Kingdom; United States,Adults primary,active_moderate_severe,41,,,RANDOMIZED PARALLEL,DOUBLE,"Randomized low-dose LASN01 (anti-IGF-1R-naïve TED); Randomized high-dose LASN01 (anti-IGF-1R-naïve TED); Randomized placebo (anti-IGF-1R-naïve TED); Open-label high dose LASN01 (post-teprotumumab, US only)",See official registry record,Registry-defined; verify per protocol,See arms,Percentage of Participants Showing a Response in Proptosis Measured Using Hertel Exophthalmometer (≥2 mm Decrease From Baseline) in the Study Eye and Separately in Either Eye Without Increased Proptosis (≥2 mm Increase) in the Other Eye; For Randomized Treatment Arms: Number of Participants With Adverse Events Receiving LASN01 Compared to Placebo; For Open-label Treatment Arm: Number of Participants With Adverse Events Receiving LASN01,Percentage of Participants Showing a Response in Clinical Activity Score (CAS) in the Study Eye Compared to Baseline as Assessed by CAS Evaluation,Posted result timepoint,"CAS response 15/17 (88.2%) vs 4/9 (44.4%), p=0.028; PRR 6/17 (35.3%) vs 3/9 (33.3%).","Any TEAE 4/9, 6/8, 6/9; treatment-related 2/9, 2/8, 3/9; randomized groups SAE 0.",Week 37; long-term durability 확립 안 됨.,,Registry result + manual curation,[422]; [521]; ClinicalTrials.gov; NCT06226545,official_registry_full_record,2026-09-10,named investigational disease-directed asset; comparator treatment does not determine asset class; n=26 randomized; p-test unnamed; sponsor-funded/authored; post hoc proptosis exclusions highly exploratory.
NCT06248619,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06248619,Teprotumumab,,Amgen,Amgen,Active moderate-to-severe TED,IGF-1R inhibition,PHASE3,ACTIVE_NOT_RECRUITING,2024-07-05,2025-12-23,Argentina; Australia; Canada; France; Germany; Italy; Japan; Spain; Taiwan; United Kingdom; United States,Adults primary,active_moderate_severe,89,,,RANDOMIZED PARALLEL,TRIPLE,Teprotumumab; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Proptosis responder rate (percentage of participants with a ≥ 2-mm reduction from baseline in proptosis in the study eye without deterioration [≥ 2-mm increase] of proptosis in the fellow eye).,"Mean change from Baseline in proptosis measurement in the study eye; Overall responder rate (percentage of participants with ≥ 2-point reduction in CAS AND ≥ 2-mm reduction in proptosis from Baseline, provided there is no corresponding deterioration [≥ 2-point/mm increase] in CAS or proptosis in the fellow eye); Percentage of participants with a CAS value of 0 or 1; Change from Baseline in diplopia as ordinal response categories; Diplopia responder rate, defined as the percentage of participants with Baseline binocular diplopia > 0 who have a reduction of ≥ 1 grade",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT06248619,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT06307613,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06307613,Efgartigimod PH20 SC,,argenx,argenx,Active moderate-to-severe TED,FcRn inhibition,PHASE3,TERMINATED,2024-03-27,2025-12-15,Australia; Belgium; Bulgaria; China; Czechia; Estonia; Germany; Greece; Hungary; Italy; Romania; Singapore; Spain; Thailand; United Kingdom; United States,Adults primary,active_moderate_severe,102,,,RANDOMIZED PARALLEL,QUADRUPLE,Efgartigimod arm; Placebo arm,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of participants who were proptosis responders,Change in proptosis measurement in the study eye from baseline; Change in the total Graves' Orbitopathy Quality of Life (GO-QoL) score from baseline; Percentage of participants with a resolution of diplopia (responders),Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT06307613,official_registry_full_record,2026-09-10,"The pre-defined interim analysis concluded that continuing the trials is unlikely to demonstrate the intended efficacy. This decision is not related to safety concerns, and the safety profile of efgartigimod remains unchanged.; disease-directed drug/biologic/supplement trial"
