blind_order,blind_id,adjudication_batch,claim_id,claim_type,blind_verdict,blind_failure_mode,adjudication_rationale,evidence_reviewed,precheck_status,resolution,source_ids,exact_anchors,canonical_artifact,canonical_row_ids,blind_packet_sha256,review_date,data_cut,review_independence
52,BLIND-0052,BATCH-03,METHOD-007,internal_status_count,support,support,Recounted the status-specific trial subset as 39; claim text/value and frozen clinical-trial artifact hash matched.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:clinical_trials_v2.csv::field=overall_status | value=RECRUITING | canonical=clinical_trials_v2.csv::field=overall_status; value=RECRUITING,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=RECRUITING,clinical_trials_v2.csv,field=overall_status; value=RECRUITING,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
53,BLIND-0053,BATCH-03,ASSET-032,complete_asset_inventory_row,support,support,"For Rilzabrutinib, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=880 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=Rilzabrutinib;row_sha256=cd567645a8657db4845de069ab1f8f04e975b9786fe6c00e516f0e66647e5f4c | canonical=pipeline_assets_v2.csv::asset=Rilzabrutinib,PASS,NA (no correction required),880,CANONICAL:pipeline_assets_v2.csv::asset=Rilzabrutinib;row_sha256=cd567645a8657db4845de069ab1f8f04e975b9786fe6c00e516f0e66647e5f4c,pipeline_assets_v2.csv,asset=Rilzabrutinib,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
54,BLIND-0054,BATCH-03,TRIAL-012-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT03461211, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=809 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT03461211 | canonical=result_trial_curation_v2.csv::trial_id=NCT03461211; field=primary_interpretation,PASS,NA (no correction required),809,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT03461211,result_trial_curation_v2.csv,trial_id=NCT03461211; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
55,BLIND-0055,BATCH-03,DIRECT-LCA-PLANNED-N,direct_program_mechanism_or_status,support,support,The CTIS exact anchor states 'Participants planned 48'. The claim explicitly labels this planned enrollment and refuses substitution for analyzed N.,sources=2 | exact_anchors=DIRECT_ANCHOR:LCA0321-CTIS-PLANNED-N | canonical=claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:LCA0321-CTIS-PLANNED-N,PASS,NA (no correction required),2,DIRECT_ANCHOR:LCA0321-CTIS-PLANNED-N,claim_evidence_anchors_v2.csv,DIRECT_ANCHOR:LCA0321-CTIS-PLANNED-N,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
56,BLIND-0056,BATCH-03,ASSET-017,complete_asset_inventory_row,support,support,"For Iscalimab (CFZ533), every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=796 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=Iscalimab (CFZ533);row_sha256=803cc28c73323d18ef916c90a6fa75e9a6351d94ecea84ac2da0ea862542a4fb | canonical=pipeline_assets_v2.csv::asset=Iscalimab (CFZ533),PASS,NA (no correction required),796,CANONICAL:pipeline_assets_v2.csv::asset=Iscalimab (CFZ533);row_sha256=803cc28c73323d18ef916c90a6fa75e9a6351d94ecea84ac2da0ea862542a4fb,pipeline_assets_v2.csv,asset=Iscalimab (CFZ533),bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
57,BLIND-0057,BATCH-03,TRIAL-021-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT06021054, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=845 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054 | canonical=result_trial_curation_v2.csv::trial_id=NCT06021054; field=primary_interpretation,PASS,NA (no correction required),845,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054,result_trial_curation_v2.csv,trial_id=NCT06021054; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
58,BLIND-0058,BATCH-03,TRIAL-017-SAFETY,trial_safety_result,support,support,"For NCT05176639, the safety field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=829 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05176639 | canonical=result_trial_curation_v2.csv::trial_id=NCT05176639; field=safety,PASS,NA (no correction required),829,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT05176639,result_trial_curation_v2.csv,trial_id=NCT05176639; field=safety,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
59,BLIND-0059,BATCH-03,ASSET-030,complete_asset_inventory_row,support,support,"For Otelixizumab, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=767 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=Otelixizumab;row_sha256=8434074732239db44a023205f935072c75c3816dcc0f5b21cf1c60cd345ba0a6 | canonical=pipeline_assets_v2.csv::asset=Otelixizumab,PASS,NA (no correction required),767,CANONICAL:pipeline_assets_v2.csv::asset=Otelixizumab;row_sha256=8434074732239db44a023205f935072c75c3816dcc0f5b21cf1c60cd345ba0a6,pipeline_assets_v2.csv,asset=Otelixizumab,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
60,BLIND-0060,BATCH-03,ENDPOINT-004,analytical_endpoint_definition,support,support,This is the frozen operational definition for durable off-treatment remission and requires treatment-free euthyroidism plus absence of relapse over a prespecified follow-up period; it is not used to recode shorter endpoints.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics | canonical=plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv::frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
61,BLIND-0061,BATCH-03,REG-KR-LUMVOA-ACCESS,regional_reimbursement_access_status,support,support,"For SOC-KR-TED-LUMVOA, access text/value matched the canonical SoC field and the claim-specific access/query source subset; authorization and access remained separate.",sources=750 | exact_anchors=CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA;field=reimbursement_access | canonical=soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA; field=reimbursement_access,PASS,NA (no correction required),750,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA;field=reimbursement_access,soc_outcomes_v2.csv,soc_id=SOC-KR-TED-LUMVOA; field=reimbursement_access,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
62,BLIND-0062,BATCH-03,METHOD-001,internal_inventory_count,support,support,Recomputed inventory value 324 from registry_cut_reconciliation_2026-09-10.json at field=cut_record_count; frozen artifact hash and claim value matched.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:registry_cut_reconciliation_2026-09-10.json::field=cut_record_count | canonical=registry_cut_reconciliation_2026-09-10.json::field=cut_record_count,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:registry_cut_reconciliation_2026-09-10.json::field=cut_record_count,registry_cut_reconciliation_2026-09-10.json,field=cut_record_count,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
63,BLIND-0063,BATCH-03,TRIAL-022-EFFICACY,trial_efficacy_result,support,support,"For NCT06106828, the efficacy field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=849 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828 | canonical=result_trial_curation_v2.csv::trial_id=NCT06106828; field=efficacy,PASS,NA (no correction required),849,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828,result_trial_curation_v2.csv,trial_id=NCT06106828; field=efficacy,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
64,BLIND-0064,BATCH-03,DOC-CONTROL-001,internal_document_control,support,support,"Verified the frozen plan2.md control anchor and hash for frozen data cut; this is a release-control statement, not an external clinical claim.",sources=NA (internal canonical evidence) | exact_anchors=INTERNAL_PLAN:plan2.md::frozen-contract::frozen data cut | canonical=plan2.md::frozen-contract::frozen data cut,PASS,NA (no correction required),NA (internal canonical evidence),INTERNAL_PLAN:plan2.md::frozen-contract::frozen data cut,plan2.md,frozen-contract::frozen data cut,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
65,BLIND-0065,BATCH-03,TRIAL-004-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT01868997, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=780 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT01868997 | canonical=result_trial_curation_v2.csv::trial_id=NCT01868997; field=primary_interpretation,PASS,NA (no correction required),780,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT01868997,result_trial_curation_v2.csv,trial_id=NCT01868997; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
66,BLIND-0066,BATCH-03,POTENTIAL-03,internal_rd_potential_confidence,support,support,"For GenSci098 / YB-101, weighted potential 2.05/3 and evidence-confidence category matched separate canonical fields; the value is retained as an internal hypothesis-weighted metric.","sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=GenSci098 / YB-101;fields=weighted_potential_0_3,evidence_confidence | canonical=pipeline_assets_v2.csv::asset=GenSci098 / YB-101;fields=weighted_potential_0_3,evidence_confidence",PASS,NA (no correction required),NA (internal canonical evidence),"CANONICAL:pipeline_assets_v2.csv::asset=GenSci098 / YB-101;fields=weighted_potential_0_3,evidence_confidence",pipeline_assets_v2.csv,"asset=GenSci098 / YB-101;fields=weighted_potential_0_3,evidence_confidence",bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
67,BLIND-0067,BATCH-03,POTENTIAL-01,internal_rd_potential_confidence,support,support,"For LCA-0321, weighted potential 2.35/3 and evidence-confidence category matched separate canonical fields; the value is retained as an internal hypothesis-weighted metric.","sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=LCA-0321;fields=weighted_potential_0_3,evidence_confidence | canonical=pipeline_assets_v2.csv::asset=LCA-0321;fields=weighted_potential_0_3,evidence_confidence",PASS,NA (no correction required),NA (internal canonical evidence),"CANONICAL:pipeline_assets_v2.csv::asset=LCA-0321;fields=weighted_potential_0_3,evidence_confidence",pipeline_assets_v2.csv,"asset=LCA-0321;fields=weighted_potential_0_3,evidence_confidence",bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
68,BLIND-0068,BATCH-03,TRIAL-010-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT02993302, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=801 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT02993302 | canonical=result_trial_curation_v2.csv::trial_id=NCT02993302; field=primary_interpretation,PASS,NA (no correction required),801,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT02993302,result_trial_curation_v2.csv,trial_id=NCT02993302; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
69,BLIND-0069,BATCH-03,HIST-NICE-08OCT,historical_failed_claim,contradict,contradict,"The claim asserts a definitive 08 October 2026 final publication date, but the exact NICE anchor says expected publication date TBC and labels the available schedule provisional/draft.",sources=732; 733 | exact_anchors=SOURCE_ANCHOR:UK-NICE-TEPEZZA-EXPECTED-DATE-TBC; SOURCE_ANCHOR:UK-NICE-TEPEZZA-PROVISIONAL-SCHEDULE; SOURCE_ANCHOR:UK-NICE-TEPEZZA-DRAFT-NOT-FINAL | canonical=source_anchors_v2.csv::SOURCE_ANCHOR:UK-NICE-TEPEZZA-EXPECTED-DATE-TBC;SOURCE_ANCHOR:UK-NICE-TEPEZZA-PROVISIONAL-SCHEDULE;SOURCE_ANCHOR:UK-NICE-TEPEZZA-DRAFT-NOT-FINAL,PASS,Ledger-only; corrected by SOC-CONFLICT-NICE and unresolved UK access wording.,732; 733,SOURCE_ANCHOR:UK-NICE-TEPEZZA-EXPECTED-DATE-TBC; SOURCE_ANCHOR:UK-NICE-TEPEZZA-PROVISIONAL-SCHEDULE; SOURCE_ANCHOR:UK-NICE-TEPEZZA-DRAFT-NOT-FINAL,source_anchors_v2.csv,SOURCE_ANCHOR:UK-NICE-TEPEZZA-EXPECTED-DATE-TBC;SOURCE_ANCHOR:UK-NICE-TEPEZZA-PROVISIONAL-SCHEDULE;SOURCE_ANCHOR:UK-NICE-TEPEZZA-DRAFT-NOT-FINAL,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
70,BLIND-0070,BATCH-03,TRIAL-013-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT03922321, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=812 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT03922321 | canonical=result_trial_curation_v2.csv::trial_id=NCT03922321; field=primary_interpretation,PASS,NA (no correction required),812,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT03922321,result_trial_curation_v2.csv,trial_id=NCT03922321; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
71,BLIND-0071,BATCH-03,LIMIT-003,methodological_limitation,support,support,Query-level records document search scope only. The statement correctly prevents a negative search from becoming evidence of non-authorization or non-reimbursement and retains unresolved status.,"sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:soc_outcomes_v2.csv::fields=authorization_status_scope,reimbursement_access,uncertainty | canonical=soc_outcomes_v2.csv::fields=authorization_status_scope,reimbursement_access,uncertainty",PASS,NA (no correction required),NA (internal canonical evidence),"CANONICAL:soc_outcomes_v2.csv::fields=authorization_status_scope,reimbursement_access,uncertainty",soc_outcomes_v2.csv,"fields=authorization_status_scope,reimbursement_access,uncertainty",bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
72,BLIND-0072,BATCH-03,TRIAL-021-DURABILITY,trial_durability_result_or_limit,support,support,"For NCT06021054, the durability field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=845 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054 | canonical=result_trial_curation_v2.csv::trial_id=NCT06021054; field=durability,PASS,NA (no correction required),845,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054,result_trial_curation_v2.csv,trial_id=NCT06021054; field=durability,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
73,BLIND-0073,BATCH-03,DIRECT-OTHER-02,direct_program_inventory_status,support,support,"For K1-70, target, highest stage, status, and trial linkage matched the canonical asset row and resolved source/registry mappings; no efficacy inference was added.","sources=164; 799 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=K1-70;fields=target,highest_stage,status,trial_ids | canonical=pipeline_assets_v2.csv::asset=K1-70",PASS,NA (no correction required),164; 799,"CANONICAL:pipeline_assets_v2.csv::asset=K1-70;fields=target,highest_stage,status,trial_ids",pipeline_assets_v2.csv,asset=K1-70,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
74,BLIND-0074,BATCH-03,SOC-CONFLICT-JP-BCQ2,pregnancy_timing_guidance,support,support,The BCQ2 exact quote defines the broader first-choice exception as pregnancy 4w0d–15w6d; the claim correctly distinguishes it from FCQ1.,sources=741 | exact_anchors=SOURCE_ANCHOR:JP-JTA2019-BCQ2 | canonical=source_anchors_v2.csv::anchor=JP-JTA2019-BCQ2,PASS,NA (no correction required),741,SOURCE_ANCHOR:JP-JTA2019-BCQ2,source_anchors_v2.csv,anchor=JP-JTA2019-BCQ2,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
75,BLIND-0075,BATCH-03,ASSET-002,complete_asset_inventory_row,support,support,"For Allogeneic CD19/BCMA CAR-T, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=884; 893 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=Allogeneic CD19/BCMA CAR-T;row_sha256=c880f030057d4251c8b04e09d59031ae74bd6a7f196117714ad3a107abae1da0 | canonical=pipeline_assets_v2.csv::asset=Allogeneic CD19/BCMA CAR-T,PASS,NA (no correction required),884; 893,CANONICAL:pipeline_assets_v2.csv::asset=Allogeneic CD19/BCMA CAR-T;row_sha256=c880f030057d4251c8b04e09d59031ae74bd6a7f196117714ad3a107abae1da0,pipeline_assets_v2.csv,asset=Allogeneic CD19/BCMA CAR-T,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
76,BLIND-0076,BATCH-04,TRIAL-009-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT02973802, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=800 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT02973802 | canonical=result_trial_curation_v2.csv::trial_id=NCT02973802; field=primary_interpretation,PASS,NA (no correction required),800,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT02973802,result_trial_curation_v2.csv,trial_id=NCT02973802; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
77,BLIND-0077,BATCH-04,TRIAL-021-SAFETY,trial_safety_result,support,support,"For NCT06021054, the safety field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=845 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054 | canonical=result_trial_curation_v2.csv::trial_id=NCT06021054; field=safety,PASS,NA (no correction required),845,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06021054,result_trial_curation_v2.csv,trial_id=NCT06021054; field=safety,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
78,BLIND-0078,BATCH-04,ASSET-034,complete_asset_inventory_row,support,support,"For Satralizumab, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=675; 699; 701; 844; 849 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=Satralizumab;row_sha256=5b521d4b29fc033735c2cd5f565f45f698458c0e3b5d82d5504154dd8d91b53c | canonical=pipeline_assets_v2.csv::asset=Satralizumab,PASS,NA (no correction required),675; 699; 701; 844; 849,CANONICAL:pipeline_assets_v2.csv::asset=Satralizumab;row_sha256=5b521d4b29fc033735c2cd5f565f45f698458c0e3b5d82d5504154dd8d91b53c,pipeline_assets_v2.csv,asset=Satralizumab,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
79,BLIND-0079,BATCH-04,TRIAL-016-EFFICACY,trial_efficacy_result,support,support,"For NCT04737330, the efficacy field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=819 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT04737330 | canonical=result_trial_curation_v2.csv::trial_id=NCT04737330; field=efficacy,PASS,NA (no correction required),819,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT04737330,result_trial_curation_v2.csv,trial_id=NCT04737330; field=efficacy,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
80,BLIND-0080,BATCH-04,REG-EU-LUMVOA-AUTH,regional_authorization_status,support,support,"For SOC-EU-TED-LUMVOA, authorization text/value matched the canonical SoC field and the claim-specific regulator or documented query source subset; unresolved wording was not converted to absence.",sources=747 | exact_anchors=CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA;field=authorization_status_scope | canonical=soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA; field=authorization_status_scope,PASS,NA (no correction required),747,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA;field=authorization_status_scope,soc_outcomes_v2.csv,soc_id=SOC-EU-TED-LUMVOA; field=authorization_status_scope,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
81,BLIND-0081,BATCH-04,ENDPOINT-002,analytical_endpoint_definition,support,support,This is an internal analytical definition: normalization without ATD escalation or with dose reduction is labeled ATD-sparing and is not promoted to durable remission. It is consistent with the frozen endpoint-semantics contract.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics | canonical=plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv::frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
82,BLIND-0082,BATCH-04,POTENTIAL-05,internal_rd_potential_confidence,support,support,"For ATX-GD-59, weighted potential 2.5/3 and evidence-confidence category matched separate canonical fields; the value is retained as an internal hypothesis-weighted metric.","sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=ATX-GD-59;fields=weighted_potential_0_3,evidence_confidence | canonical=pipeline_assets_v2.csv::asset=ATX-GD-59;fields=weighted_potential_0_3,evidence_confidence",PASS,NA (no correction required),NA (internal canonical evidence),"CANONICAL:pipeline_assets_v2.csv::asset=ATX-GD-59;fields=weighted_potential_0_3,evidence_confidence",pipeline_assets_v2.csv,"asset=ATX-GD-59;fields=weighted_potential_0_3,evidence_confidence",bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
83,BLIND-0083,BATCH-04,POP-PREGNANCY-001,analytical_population_boundary,support,support,"Verified the exact special-population category locator (categories=GD in pregnancy,GD in lactation across five regions) across five regions and confirmed nonblank endpoint/risk boundaries; claim-specific category checks passed.","sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:soc_outcomes_v2.csv::categories=GD in pregnancy,GD in lactation across five regions | canonical=soc_outcomes_v2.csv::categories=GD in pregnancy,GD in lactation across five regions",PASS,NA (no correction required),NA (internal canonical evidence),"CANONICAL:soc_outcomes_v2.csv::categories=GD in pregnancy,GD in lactation across five regions",soc_outcomes_v2.csv,"categories=GD in pregnancy,GD in lactation across five regions",bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
