blind_order,blind_id,claim_id,claim_type,machine_status,checks_total,checks_failed,failed_checks,evidence_locator,source_ids,exact_anchor_count,evidence_digest,claim_text,value
49,BLIND-0049,METHOD-018,internal_methodological_statement,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::has_posted_results=Yes; field=n_analyzed,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::has_posted_results=Yes | field=n_analyzed,25개 result-bearing trial의 n_analyzed는 endpoint-specific이며 enrollment 또는 randomized flow N으로 대체하지 않았다.,25개 result-bearing trial의 n_analyzed는 endpoint-specific이며 enrollment 또는 randomized flow N으로 대체하지 않았다.
50,BLIND-0050,DIRECT-MER-MECHANISM,direct_program_mechanism_or_status,PASS,6,0,NA (no failed structural checks),claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:MER511-SPONSOR-PRECISION-DESIGN;DIRECT_ANCHOR:MER511-OR31-CONSTRUCT;DIRECT_ANCHOR:MER511-OR31-AAB-B-CELL-MECHANISM,6; 8,3,"MER511-SPONSOR-PRECISION-DESIGN: Merida is developing MER511, a precision biologic designed to selectively eliminate pathogenic autoantibodies and their B-cell sources while || MER511-OR31-CONSTRUCT: MER511, a monomeric TSHR-IgG Fc fusion protein that combines the TSHR ectodomain with a mutated Fc domain that specifically increases affini || MER511-OR31-AAB-B-CELL-MECHANISM: MER511 specifically binds and neutralizes patient-derived anti-TSHR autoantibodies, leading to clearance and deg radation via FcγRIIB in LSE",MER511은 anti-TSHR autoantibodies를 neutralize/clear하고 antigen-specific B-cell function을 억제하도록 설계된 TSHR-IgG Fc fusion precision biologic이다.,MER511은 anti-TSHR autoantibodies를 neutralize/clear하고 antigen-specific B-cell function을 억제하도록 설계된 TSHR-IgG Fc fusion precision biologic이다.
51,BLIND-0051,METHOD-007,internal_status_count,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::field=overall_status; value=RECRUITING,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::field=overall_status | value=RECRUITING,RECRUITING status trial은 39개였다.,39
52,BLIND-0052,ASSET-045,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Veligrotug (Lumvoa),230; 373; 726; 727; 829; 845; 852; 859,1,CANONICAL:pipeline_assets_v2.csv::asset=Veligrotug (Lumvoa);row_sha256=499589f3bf08bfc18cca9d333f0d33ab24e528c4c1018bbbb58956ef4d7bc0af,Veligrotug (Lumvoa): indication=TED regardless of activity or duration (US); target=IGF-1R; highest_stage=Approved US; status=FDA approved 2026-06-26; tier=Comparator; evidence_confidence=High for TED.,Approved US | FDA approved 2026-06-26 | High for TED
53,BLIND-0053,TRIAL-012-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT03461211; field=primary_interpretation,809,1,TRIAL-RESULT-NCT03461211: OPTIC-X는 prior-placebo crossover와 selected retreatment/nonresponder cohorts에서 추가 response를 보였다.,NCT03461211: OPTIC-X는 prior-placebo crossover와 selected retreatment/nonresponder cohorts에서 추가 response를 보였다.,open_label_extension
54,BLIND-0054,ASSET-019,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Kamuvudine-9 (K9),864,1,CANONICAL:pipeline_assets_v2.csv::asset=Kamuvudine-9 (K9);row_sha256=dbc1f2ee16bfb083849112be766e41b6c1cb12e2da3a2ff1932b11ca324b0c14,Kamuvudine-9 (K9): indication=TED; target=P2X7/NLRP3 axis; highest_stage=Phase 2 terminated; status=Terminated for low enrollment; tier=Adjacent; evidence_confidence=Low.,Phase 2 terminated | Terminated for low enrollment | Low
55,BLIND-0055,REG-EU-LUMVOA-AUTH,regional_authorization_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA; field=authorization_status_scope,747,1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA;field=authorization_status_scope,EU/EEA Lumvoa authorization: unresolved (no relevant official EMA product record identified in the documented search; this does not prove non-authorization),unresolved (no relevant official EMA product record identified in the documented search; this does not prove non-authorization)
56,BLIND-0056,TRIAL-020-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT05987423; field=efficacy,844,1,TRIAL-RESULT-NCT05987423: SatraGO-1 active-TED Week 24 primary PRR는 실패했다.,"NCT05987423: Active PRR 49.0% vs 31.2%, p=0.0715; RD 17.9 points (95.03% CI −1.6 to 37.3). Some secondary activity endpoints nominally positive.","Active PRR 49.0% vs 31.2%, p=0.0715; RD 17.9 points (95.03% CI −1.6 to 37.3). Some secondary activity endpoints nominally positive."
57,BLIND-0057,DOC-CONTROL-001,internal_document_control,PASS,6,0,NA (no failed structural checks),plan2.md::frozen-contract::frozen data cut,NA (internal canonical evidence),1,INTERNAL_PLAN:plan2.md::frozen-contract::frozen data cut,2026-09-10 (frozen; later registry/regulatory changes excluded).,2026-09-10 (frozen; later registry/regulatory changes excluded).
58,BLIND-0058,ASSET-010,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Felzartamab,918,1,CANONICAL:pipeline_assets_v2.csv::asset=Felzartamab;row_sha256=61edf6dd6c911afb98ef12c747fd9c7f13cbf523f6c6213ec752c8fe525d17d8,Felzartamab: indication=GD / autoimmune hyperthyroidism; target=CD38; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
59,BLIND-0059,ENDPOINT-004,analytical_endpoint_definition,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,Durable off-treatment remission은 사전 정의된 추적 기간 동안 치료 없이 euthyroidism이 지속되고 relapse가 없는 상태다.,NA (not a scalar claim)
60,BLIND-0060,REG-KR-LUMVOA-AUTH,regional_authorization_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA; field=authorization_status_scope,750,1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA;field=authorization_status_scope,South Korea Lumvoa authorization: unresolved (no relevant official Korean product record identified; this does not prove non-authorization),unresolved (no relevant official Korean product record identified; this does not prove non-authorization)
61,BLIND-0061,METHOD-001,internal_inventory_count,PASS,6,0,NA (no failed structural checks),registry_cut_reconciliation_2026-09-10.json::field=cut_record_count,NA (internal canonical evidence),1,CANONICAL:registry_cut_reconciliation_2026-09-10.json::field=cut_record_count,Frozen ClinicalTrials.gov query는 324개 record를 포함했다.,324
62,BLIND-0062,TRIAL-022-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06106828; field=primary_interpretation,849,1,TRIAL-RESULT-NCT06106828: SatraGO-2는 active-TED Week 24 primary PRR를 충족했다.,NCT06106828: SatraGO-2는 active-TED Week 24 primary PRR를 충족했다.,positive_randomized
63,BLIND-0063,ASSET-028,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=MHB018A,459; 460; 461; 881; 892; 894; 910; 911; 912,1,CANONICAL:pipeline_assets_v2.csv::asset=MHB018A;row_sha256=552cd7cedb660890d1e69bbee170970231112e93e8e33096f2fb234fca455cad,"MHB018A: indication=Active moderate-to-severe TED; Chronic/inactive TED; TED, active and chronic/inactive cohorts; target=IGF-1R; highest_stage=Highest registered phase: PHASE3; status=Registered statuses: RECRUITING; NOT_YET_RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).",Highest registered phase: PHASE3 | Registered statuses: RECRUITING; NOT_YET_RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
64,BLIND-0064,TRIAL-004-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT01868997; field=primary_interpretation,780,1,TRIAL-RESULT-NCT01868997: active TED에서 teprotumumab은 Week 24 composite response와 proptosis를 유의하게 개선했다.,NCT01868997: active TED에서 teprotumumab은 Week 24 composite response와 proptosis를 유의하게 개선했다.,positive_randomized
65,BLIND-0065,ASSET-037,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=SHR-1314,833,1,CANONICAL:pipeline_assets_v2.csv::asset=SHR-1314;row_sha256=646f66804a8fe65633317315a28b373218bba404d836db4ea8f1c39373d4ec56,SHR-1314: indication=Active moderate-to-severe TED; target=IL-6 pathway; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: TERMINATED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: TERMINATED | Low (registry-level completeness row; not an efficacy judgment)
66,BLIND-0066,ASSET-022,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=LASN01,422; 521; 832; 853,1,CANONICAL:pipeline_assets_v2.csv::asset=LASN01;row_sha256=41fe4126561d9dce93a3ec41b83197b4a54edf29a220410c06957f67f8a8f40d,LASN01: indication=TED; target=IL-11R; highest_stage=Phase 2; status=Completed; tier=Adjacent; evidence_confidence=Low–moderate.,Phase 2 | Completed | Low–moderate
67,BLIND-0067,TRIAL-010-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT02993302; field=primary_interpretation,801,1,TRIAL-RESULT-NCT02993302: PTU+alfacalcidol은 prespecified immune biomarkers를 개선하지 못했다.,NCT02993302: PTU+alfacalcidol은 prespecified immune biomarkers를 개선하지 못했다.,negative_biomarker
68,BLIND-0068,HIST-NICE-08OCT,historical_failed_claim,PASS,6,0,NA (no failed structural checks),source_anchors_v2.csv::SOURCE_ANCHOR:UK-NICE-TEPEZZA-EXPECTED-DATE-TBC;SOURCE_ANCHOR:UK-NICE-TEPEZZA-PROVISIONAL-SCHEDULE;SOURCE_ANCHOR:UK-NICE-TEPEZZA-DRAFT-NOT-FINAL,732; 733,3,"UK-NICE-TEPEZZA-EXPECTED-DATE-TBC: Expected publication date: TBC || UK-NICE-TEPEZZA-PROVISIONAL-SCHEDULE: Provisional Schedule Draft guidance: 08 September 2026 - 29 September 2026 Committee meeting: 3: 05 January 2027 || UK-NICE-TEPEZZA-DRAFT-NOT-FINAL: Note that this document is not NICE's final guidance on teprotumumab. The 
recommendations in section 1 may change after consultation.",NICE final guidance publication date is definitively 08 October 2026.,NICE final guidance publication date is definitively 08 October 2026.
69,BLIND-0069,TRIAL-013-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT03922321; field=primary_interpretation,812,1,TRIAL-RESULT-NCT03922321: RVT-1401 pilot은 strong IgG PD를 보였으나 clinical efficacy inference는 약하다.,NCT03922321: RVT-1401 pilot은 strong IgG PD를 보였으나 clinical efficacy inference는 약하다.,single_arm_pd
70,BLIND-0070,POP-OLDER-001,analytical_population_boundary,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::category=Older adults across five regions,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::category=Older adults across five regions,"Older adults는 adult primary pathway와 분리하고 cardiovascular, glycemic, hearing, glucocorticoid 및 procedural toxicity modifiers를 별도 기록한다.","Older adults는 adult primary pathway와 분리하고 cardiovascular, glycemic, hearing, glucocorticoid 및 procedural toxicity modifiers를 별도 기록한다."
71,BLIND-0071,TRIAL-021-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06021054; field=efficacy,845,1,TRIAL-RESULT-NCT06021054: THRIVE-2에서 chronic TED Week 15 PRR가 크게 개선되었다.,"NCT06021054: PRR 57.28% vs 8.22%, p<0.0001; RD 49.06 points (95% CI 37.71–60.40); proptosis LS change −2.35 vs −0.46 mm; diplopia response 55.57% vs 24.70%.","PRR 57.28% vs 8.22%, p<0.0001; RD 49.06 points (95% CI 37.71–60.40); proptosis LS change −2.35 vs −0.46 mm; diplopia response 55.57% vs 24.70%."
72,BLIND-0072,ASSET-038,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Sirolimus (rapamycin),818; 822; 839,1,CANONICAL:pipeline_assets_v2.csv::asset=Sirolimus (rapamycin);row_sha256=53e7d3b8bd9b5ddf7253c6405d23765e9250c9ba1fb4afebbe3619e82dd9ab6f,Sirolimus (rapamycin): indication=Active moderate-to-severe TED; target=mTOR; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: UNKNOWN; RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: UNKNOWN; RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
73,BLIND-0073,ASSET-041,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Tocilizumab,772; 821; 847; 878,1,CANONICAL:pipeline_assets_v2.csv::asset=Tocilizumab;row_sha256=1716acfae4823a571b87c821bf5988cf2a94a2e0b9fb2b96058ff9271b2e8b16,"Tocilizumab: indication=Active TED; Active moderate-to-severe TED; Sight-threatening TED / dysthyroid optic neuropathy; TED, activity/severity not registry-specified; target=IL-6R; highest_stage=Highest registered phase: PHASE4; status=Registered statuses: UNKNOWN; RECRUITING; COMPLETED; WITHDRAWN; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).",Highest registered phase: PHASE4 | Registered statuses: UNKNOWN; RECRUITING; COMPLETED; WITHDRAWN | Low (registry-level completeness row; not an efficacy judgment)
74,BLIND-0074,ASSET-018,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=K1-70,164; 799,1,CANONICAL:pipeline_assets_v2.csv::asset=K1-70;row_sha256=0d0b512fae8dfef2fe6e04436cd9ae381159897d828d00feeaeb599c62b068ec,K1-70: indication=GD; TED; target=TSHR; highest_stage=Phase 1; status=Early clinical; tier=Core; evidence_confidence=Moderate.,Phase 1 | Early clinical | Moderate
75,BLIND-0075,TRIAL-009-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT02973802; field=primary_interpretation,800,1,TRIAL-RESULT-NCT02973802: ATX-GD-59 Phase 1에서 thyroid/antibody biomarker 개선 신호가 있었지만 remission proof는 아니다.,NCT02973802: ATX-GD-59 Phase 1에서 thyroid/antibody biomarker 개선 신호가 있었지만 remission proof는 아니다.,exploratory_single_arm
76,BLIND-0076,TRIAL-021-SAFETY,trial_safety_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06021054; field=safety,845,1,TRIAL-RESULT-NCT06021054: THRIVE-2에서 chronic TED Week 15 PRR가 크게 개선되었다.,NCT06021054: Through Week 52: death 1/125 vs 0/63; SAE 10/125 vs 3/63; registry는 death cause/relatedness 미기재.,Through Week 52: death 1/125 vs 0/63; SAE 10/125 vs 3/63; registry는 death cause/relatedness 미기재.
77,BLIND-0077,SOC-CONFLICT-JP-BCQ2,pregnancy_timing_guidance,PASS,6,0,NA (no failed structural checks),source_anchors_v2.csv::anchor=JP-JTA2019-BCQ2,741,1,"JP-JTA2019-BCQ2: BCQ2 抗甲状腺薬治療 の第一選択 は何か？ 
●抗甲状腺薬 の第一選択 は， 妊娠初 期（器官形成期 の妊娠 4 週 0 日 から 15 週 6 日 ）を除き， M M I 
とする． 
",Japan BCQ2의 broader first-choice exception은 임신 4w0d–15w6d이며 FCQ1 avoidance interval과 병합하지 않는다.,Japan BCQ2의 broader first-choice exception은 임신 4w0d–15w6d이며 FCQ1 avoidance interval과 병합하지 않는다.
78,BLIND-0078,TRIAL-016-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT04737330; field=efficacy,819,1,TRIAL-RESULT-NCT04737330: secukinumab은 futility로 종료되었고 Week 16 response가 관찰되지 않았다.,NCT04737330: Overall response 0/14 vs 0/14; CAS response 0/14 vs 3/14; PRR 0/14 vs 0/14.,Overall response 0/14 vs 0/14; CAS response 0/14 vs 3/14; PRR 0/14 vs 0/14.
79,BLIND-0079,ASSET-042,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Tofacitinib,905,1,CANONICAL:pipeline_assets_v2.csv::asset=Tofacitinib;row_sha256=33836bfc423ce42d8f0c9a146654e8c15ceb15dce7dbc717d24fbe92da64167b,Tofacitinib: indication=Active moderate-to-severe TED; target=JAK family; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
80,BLIND-0080,ENDPOINT-002,analytical_endpoint_definition,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,ATD-sparing response는 ATD 증량 없이 normalization 또는 ATD dose 감소를 뜻하며 durable remission을 자동 의미하지 않는다.,NA (not a scalar claim)
81,BLIND-0081,ASSET-008,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Cizutamig (CND106),564; 645; 909,1,CANONICAL:pipeline_assets_v2.csv::asset=Cizutamig (CND106);row_sha256=968534098754e91f6f5b9a7644fdef6c3f4ead8dfd94918d7212059669aa823c,Cizutamig (CND106): indication=Autoantibody-mediated disease; relevance to GD/TED; target=BCMA×CD3; highest_stage=Phase 1; status=Early clinical; tier=Adjacent; evidence_confidence=Low.,Phase 1 | Early clinical | Low
82,BLIND-0082,REG-KR-LUMVOA-ACCESS,regional_reimbursement_access_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA; field=reimbursement_access,750,1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-KR-TED-LUMVOA;field=reimbursement_access,South Korea Lumvoa reimbursement/access: unresolved (no relevant official Korean reimbursement record identified; this does not prove non-reimbursement),unresolved (no relevant official Korean reimbursement record identified; this does not prove non-reimbursement)
83,BLIND-0083,ASSET-SUMMARY-TIERS,internal_asset_tier_count,PASS,6,0,NA (no failed structural checks),pipeline_assets_v2.csv::field=core_adjacent_tier,NA (internal canonical evidence),1,CANONICAL:pipeline_assets_v2.csv::field=core_adjacent_tier,"Asset tier 분포는 Core 5, Core-adjacent 1, Comparator 5, Adjacent 6, Watchlist 3, Completeness 28였다.","{""Adjacent"": 6, ""Comparator"": 5, ""Completeness"": 28, ""Core"": 5, ""Core-adjacent"": 1, ""Watchlist"": 3}"
84,BLIND-0084,ENDPOINT-003,analytical_endpoint_definition,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,"Off-ATD normalization은 특정 시점에 ATD 없이 FT3/FT4가 정상인 상태이며, 충분한 추적이 없으면 durable remission으로 부르지 않는다.",NA (not a scalar claim)
85,BLIND-0085,REG-US-LUMVOA-AUTH,regional_authorization_status,PASS,8,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-US-TED-LUMVOA; field=authorization_status_scope,373; 726,4,"US-LUMVOA-LABEL-INDICATION-DOSE: 1 INDICATIONS AND USAGE
LUMVOA is indicated for the treatment of thyroid eye disease regardless of thyroid eye disease 
activity or duration || US-FDA-LUMVOA-BLA-APPROVAL: BLA 761530
BLA APPROVAL
Viridian Therapeutics, Inc.
Attention: Martin Kwok, PharmD, RAC
Senior Director, Regulatory Affairs
221 Crescent Str || US-FDA-LUMVOA-APPROVAL-DATE: ALEXANDER GOROVETS
06/26/2026 02:09:44 PM",United States Lumvoa authorization: approved by FDA on 2026-06-26; BLA 761530; TED regardless of activity or duration,approved by FDA on 2026-06-26; BLA 761530; TED regardless of activity or duration
86,BLIND-0086,LIMIT-005,QA_limitation,PASS,6,0,NA (no failed structural checks),plan2.md::claim-QA contract,NA (internal canonical evidence),1,CANONICAL:plan2.md::claim-QA contract,Stance-hidden QA는 within-agent bias-reduction이며 independent validation이 아니다.,Stance-hidden QA는 within-agent bias-reduction이며 independent validation이 아니다.
87,BLIND-0087,DOC-CONTROL-002,internal_document_control,PASS,6,0,NA (no failed structural checks),plan2.md::frozen-contract::geographic and population scope,NA (internal canonical evidence),1,INTERNAL_PLAN:plan2.md::frozen-contract::geographic and population scope,"United States, EU/EEA, United Kingdom, South Korea, Japan을 포함하며 adults가 primary이고 pediatrics, pregnancy/lactation, older adults, relapsed/refractory populations는 분리한다.","United States, EU/EEA, United Kingdom, South Korea, Japan을 포함하며 adults가 primary이고 pediatrics, pregnancy/lactation, older adults, relapsed/refractory populations는 분리한다."
88,BLIND-0088,POP-PREGNANCY-001,analytical_population_boundary,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::category=Pregnancy/lactation GD across five regions,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::category=Pregnancy/lactation GD across five regions,"Pregnancy/lactation은 adult primary pathway와 분리하고 trimester-specific ATD choice, fetal/infant risk 및 maternal biochemical control을 별도 기록한다.","Pregnancy/lactation은 adult primary pathway와 분리하고 trimester-specific ATD choice, fetal/infant risk 및 maternal biochemical control을 별도 기록한다."
89,BLIND-0089,ASSET-029,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=NTB003 / BCG009,404; 495; 904,1,CANONICAL:pipeline_assets_v2.csv::asset=NTB003 / BCG009;row_sha256=d902b3738f7256ea22a7f7905ee1637fe210cdf77a83aadf2bd5362a5ae0c718,"NTB003 / BCG009: indication=TED, active and chronic/inactive cohorts; target=IGF-1R; highest_stage=Highest registered phase: PHASE1; PHASE2; status=Registered statuses: NOT_YET_RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).",Highest registered phase: PHASE1; PHASE2 | Registered statuses: NOT_YET_RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
90,BLIND-0090,LIMIT-001,methodological_limitation,PASS,6,0,NA (no failed structural checks),registry_cut_reconciliation_2026-09-10.json::frozen query and reconciliation scope,NA (internal canonical evidence),1,CANONICAL:registry_cut_reconciliation_2026-09-10.json::frozen query and reconciliation scope,"Registry landscape는 미등록 preclinical assets, unpublished failures 및 비공개 sponsor changes를 포착하지 못할 수 있다.","Registry landscape는 미등록 preclinical assets, unpublished failures 및 비공개 sponsor changes를 포착하지 못할 수 있다."
91,BLIND-0091,METHOD-010,internal_status_count,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::field=overall_status; value=TERMINATED,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::field=overall_status | value=TERMINATED,TERMINATED status trial은 11개였다.,11
92,BLIND-0092,TRIAL-018-SAFETY,trial_safety_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT05276063; field=safety,831,1,TRIAL-RESULT-NCT05276063: linsitinib high dose는 Week 24 PRR와 overall response를 유의하게 개선했으나 low dose primary comparison은 유의하지 않았다.,"NCT05276063: SAE 2/29 high, 0/30 low, 1/31 placebo; high-dose GI/fatigue/transaminase signals.","SAE 2/29 high, 0/30 low, 1/31 placebo; high-dose GI/fatigue/transaminase signals."
93,BLIND-0093,REG-EU-LUMVOA-ACCESS,regional_reimbursement_access_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA; field=reimbursement_access,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-EU-TED-LUMVOA;field=reimbursement_access,EU/EEA Lumvoa reimbursement/access: unresolved,unresolved
94,BLIND-0094,TRIAL-019-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT05907668; field=primary_interpretation,843,1,TRIAL-RESULT-NCT05907668: batoclimab+background ATD에서 biochemical control 및 ATD reduction 신호가 있었지만 remission/cure 증거는 아니다.,NCT05907668: batoclimab+background ATD에서 biochemical control 및 ATD reduction 신호가 있었지만 remission/cure 증거는 아니다.,single_arm_biochemical
95,BLIND-0095,ASSET-026,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Lu AG22515,868,1,CANONICAL:pipeline_assets_v2.csv::asset=Lu AG22515;row_sha256=c6f63087e1a55e64581de484461c040703bf53ca8d0febf8732ec29b3e172d54,Lu AG22515: indication=TED; target=CD40L; highest_stage=Phase 1/2; status=Clinical development; tier=Adjacent; evidence_confidence=Low.,Phase 1/2 | Clinical development | Low
96,BLIND-0096,LIMIT-003,methodological_limitation,PASS,6,0,NA (no failed structural checks),"soc_outcomes_v2.csv::fields=authorization_status_scope,reimbursement_access,uncertainty",NA (internal canonical evidence),1,"CANONICAL:soc_outcomes_v2.csv::fields=authorization_status_scope,reimbursement_access,uncertainty",Query-level negative search는 authorization 또는 reimbursement 부재를 입증하지 않으므로 해당 status를 unresolved로 유지했다.,Query-level negative search는 authorization 또는 reimbursement 부재를 입증하지 않으므로 해당 status를 unresolved로 유지했다.
97,BLIND-0097,POTENTIAL-04,internal_rd_potential_confidence,PASS,7,0,NA (no failed structural checks),"pipeline_assets_v2.csv::asset=K1-70;fields=weighted_potential_0_3,evidence_confidence",NA (internal canonical evidence),1,"CANONICAL:pipeline_assets_v2.csv::asset=K1-70;fields=weighted_potential_0_3,evidence_confidence",K1-70: hypothesis-weighted R&D potential=2.05/3; evidence confidence=Moderate.,2.05
98,BLIND-0098,ASSET-011,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=GenSci098 / YB-101,541; 870; 897; 915,1,CANONICAL:pipeline_assets_v2.csv::asset=GenSci098 / YB-101;row_sha256=15084e27f6c75fa8ee24ae640744609c3a91e46bf44de578cf7803acc53a8fe7,GenSci098 / YB-101: indication=GD; target=TSHR; highest_stage=Phase 2; status=Active development; tier=Core; evidence_confidence=Moderate.,Phase 2 | Active development | Moderate
99,BLIND-0099,SOC-FRAME-003,analytical_population_boundary,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::special-population categories,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::special-population categories,"Pediatrics, pregnancy, lactation, older adults, relapsed/refractory GD 및 relapsed/refractory TED는 adult primary pathway와 분리했다.","Pediatrics, pregnancy, lactation, older adults, relapsed/refractory GD 및 relapsed/refractory TED는 adult primary pathway와 분리했다."
100,BLIND-0100,METHOD-017,randomization_semantics_count,PASS,6,0,NA (no failed structural checks),"clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",NA (internal canonical evidence),1,"CANONICAL:clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",Nonrandomized or allocation-NA trials: 43개; n_randomized를 NA로 유지했다.,43
